"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3TLEKKU9","conferencePaper","2021","Chen, Qiaochu; Lamoreaux, Aaron; Wang, Xinyu; Durrett, Greg; Bastani, Osbert; Dillig, Isil","Web Question Answering with Neurosymbolic Program Synthesis","Proceedings of the 42nd ACM SIGPLAN International Conference on Programming Language Design and Implementation","978-1-4503-8391-2","","10.1145/3453483.3454047","https://doi.org/10.1145/3453483.3454047","In this paper, we propose a new technique based on program synthesis for extracting information from webpages. Given a natural language query and a few labeled webpages, our method synthesizes a program that can be used to extract similar types of information from other unlabeled webpages. To handle websites with diverse structure, our approach employs a neurosymbolic DSL that incorporates both neural NLP models as well as standard language constructs for tree navigation and string manipulation. We also propose an optimal synthesis algorithm that generates all DSL programs that achieve optimal F1 score on the training examples. Our synthesis technique is compositional, prunes the search space by exploiting a monotonicity property of the DSL, and uses transductive learning to select programs with good generalization power. We have implemented these ideas in a new tool called WebQA and evaluate it on 25 different tasks across multiple domains. Our experiments show that WebQA significantly outperforms existing tools such as state-of-the-art question answering models and wrapper induction systems.","2021","2021-07-20 15:23:36","2021-07-20 15:23:36","","328–343","","","","","","","PLDI 2021","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual, Canada","","","","Program Synthesis; Programming by Example; Web Information Extraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"896WR94Q","journalArticle","2021","Sisejkovic, Dominik; Merchant, Farhad; Reimann, Lennart M.; Srivastava, Harshit; Hallawa, Ahmed; Leupers, Rainer","Challenging the Security of Logic Locking Schemes in the Era of Deep Learning: A Neuroevolutionary Approach","J. Emerg. Technol. Comput. Syst.","","1550-4832","10.1145/3431389","https://doi.org/10.1145/3431389","Logic locking is a prominent technique to protect the integrity of hardware designs throughout the integrated circuit design and fabrication flow. However, in recent years, the security of locking schemes has been thoroughly challenged by the introduction of various deobfuscation attacks. As in most research branches, deep learning is being introduced in the domain of logic locking as well. Therefore, in this article we present SnapShot, a novel attack on logic locking that is the first of its kind to utilize artificial neural networks to directly predict a key bit value from a locked synthesized gate-level netlist without using a golden reference. Hereby, the attack uses a simpler yet more flexible learning model compared to existing work. Two different approaches are evaluated. The first approach is based on a simple feedforward fully connected neural network. The second approach utilizes genetic algorithms to evolve more complex convolutional neural network architectures specialized for the given task. The attack flow offers a generic and customizable framework for attacking locking schemes using machine learning techniques. We perform an extensive evaluation of SnapShot for two realistic attack scenarios, comprising both reference combinational and sequential benchmark circuits as well as silicon-proven RISC-V core modules. The evaluation results show that SnapShot achieves an average key prediction accuracy of 82.60% for the selected attack scenario, with a significant performance increase of 10.49 percentage points compared to the state of the art. Moreover, SnapShot outperforms the existing technique on all evaluated benchmarks. The results indicate that the security foundation of common logic locking schemes is built on questionable assumptions. Based on the lessons learned, we discuss the vulnerabilities and potentials of logic locking uncovered by SnapShot. The conclusions offer insights into the challenges of designing future logic locking schemes that are resilient to machine learning attacks.","2021-05","2021-07-20 15:23:36","2021-07-20 15:23:36","","","","3","17","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","deep learning; IP protection; logic locking; neuroevolution; RISC-V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KFVFGNRA","bookSection","2021","Pinhanez, Claudio Santos; Candello, Heloisa; Cavalin, Paulo; Pichiliani, Mauro Carlos; Appel, Ana Paula; Alves Ribeiro, Victor Henrique; Nogima, Julio; de Bayser, Maira; Guerra, Melina; Ferreira, Henrique; Malfatti, Gabriel","Integrating Machine Learning Data with Symbolic Knowledge from Collaboration Practices of Curators to Improve Conversational Systems","Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems","978-1-4503-8096-6","","","https://doi.org/10.1145/3411764.3445368","This paper describes how machine learning training data and symbolic knowledge from curators of conversational systems can be used together to improve the accuracy of those systems and to enable better curatorial tools. This is done in the context of a real-world practice of curators of conversational systems who often embed taxonomically-structured meta-knowledge into their documentation. The paper provides evidence that the practice is quite common among curators, that is used as part of their collaborative practices, and that the embedded knowledge can be mined by algorithms. Further, this meta-knowledge can be integrated, using neuro-symbolic algorithms, to the machine learning-based conversational system, to improve its run-time accuracy and to enable tools to support curatorial tasks. Those results point towards new ways of designing development tools which explore an integrated use of code and documentation by machines.","2021","2021-07-20 15:23:36","2021-07-20 15:23:36","","","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NRSTRUNV","conferencePaper","2021","Alemu Moges, Dagmawi; Andre Niyongabo, Rubungo; Qu, Hong","Multi-Perspective Reasoning Transformers","2021 13th International Conference on Machine Learning and Computing","978-1-4503-8931-0","","10.1145/3457682.3457759","https://doi.org/10.1145/3457682.3457759","Machine Reading Comprehension is defined as the ability of machines to read and understand unstructured text and answer questions about it. It is considered as a challenging task with wide range of enterprise applications. Wide range of natural language understanding and reasoning tasks are found embedded within machine reading comprehension datasets. This requires effective models with robust relational reasoning capabilities to answer complex questions. Reasoning in natural language is a long-term machine-learning goal and is critically needed for building intelligent agents. However, most papers heavily depend on underlying language modeling and thus pay little to no attention on creating effective reasoning models. This paper proposes a modified transformer architecture that effectively combines soft and hard attention to create multi-perspective reasoning model capable of tackling wide range of reasoning tasks. An attention mechanism that highlights the relational significance of input signals is considered as well. The result from this study shows performance gain as compared to its counterpart the transformer network on bAbI dataset, a natural language reasoning tasks.","2021","2021-07-20 15:23:36","2021-07-20 15:23:36","","503–508","","","","","","","ICMLC 2021","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Shenzhen, China","","","","machine reading comprehension; Multi-perspective reasoning; natural language reasoning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RG4CZ5UJ","conferencePaper","2020","Zhu, Keren; Liu, Mingjie; Chen, Hao; Zhao, Zheng; Pan, David Z.","Exploring Logic Optimizations with Reinforcement Learning and Graph Convolutional Network","Proceedings of the 2020 ACM/IEEE Workshop on Machine Learning for CAD","978-1-4503-7519-1","","10.1145/3380446.3430622","https://doi.org/10.1145/3380446.3430622","Logic synthesis for combinational circuits is to find the minimum equivalent representation for Boolean logic functions. A well-adopted logic synthesis paradigm represents the Boolean logic with standardized logic networks, such as and-inverter graphs (AIG), and performs logic minimization operations over the graph iteratively. Although the research for different logic representation and operations is fruitful, the sequence of using the operations are often determined by heuristics. We propose a Markov decision process (MDP) formulation of the logic synthesis problem and a reinforcement learning (RL) algorithm incorporating with graph convolutional network to explore the solution search space. The experimental results show that the proposed method outperforms the well-known logic synthesis heuristics with the same sequence length and action space.","2020","2021-07-20 15:23:37","2021-07-20 15:23:37","","145–150","","","","","","","MLCAD '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event, Iceland","","","","graph neural network; logic synthesis; reinforcement learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKL5ETMX","bookSection","2020","Xian, Yikun; Fu, Zuohui; Zhao, Handong; Ge, Yingqiang; Chen, Xu; Huang, Qiaoying; Geng, Shijie; Qin, Zhou; de Melo, Gerard; Muthukrishnan, S.; Zhang, Yongfeng","CAFE: Coarse-to-Fine Neural Symbolic Reasoning for Explainable Recommendation","Proceedings of the 29th ACM International Conference on Information &amp; Knowledge Management","978-1-4503-6859-9","","","https://doi.org/10.1145/3340531.3412038","Recent research explores incorporating knowledge graphs (KG) into e-commerce recommender systems, not only to achieve better recommendation performance, but more importantly to generate explanations of why particular decisions are made. This can be achieved by explicit KG reasoning, where a model starts from a user node, sequentially determines the next step, and walks towards an item node of potential interest to the user. However, this is challenging due to the huge search space, unknown destination, and sparse signals over the KG, so informative and effective guidance is needed to achieve a satisfactory recommendation quality. To this end, we propose a CoArse-to-FinE neural symbolic reasoning approach (CAFE). It first generates user profiles as coarse sketches of user behaviors, which subsequently guide a path-finding process to derive reasoning paths for recommendations as fine-grained predictions. User profiles can capture prominent user behaviors from the history, and provide valuable signals about which kinds of path patterns are more likely to lead to potential items of interest for the user. To better exploit the user profiles, an improved path-finding algorithm called Profile-guided Path Reasoning (PPR) is also developed, which leverages an inventory of neural symbolic reasoning modules to effectively and efficiently find a batch of paths over a large-scale KG. We extensively experiment on four real-world benchmarks and observe substantial gains in the recommendation performance compared with state-of-the-art methods.","2020","2021-07-20 15:23:37","2021-07-20 15:23:37","","1645–1654","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N7JEET74","bookSection","2020","Alam, Mehwish; Groth, Paul; Hitzler, Pascal; Paulheim, Heiko; Sack, Harald; Tresp, Volker","CSSA'20: Workshop on Combining Symbolic and Sub-Symbolic Methods and Their Applications","Proceedings of the 29th ACM International Conference on Information &amp; Knowledge Management","978-1-4503-6859-9","","","https://doi.org/10.1145/3340531.3414072","There has been a rapid growth in the use of symbolic representations along with their applications in many important tasks. Symbolic representations, in the form of Knowledge Graphs (KGs), constitute large networks of real-world entities and their relationships. On the other hand, sub-symbolic artificial intelligence has also become a mainstream area of research. This workshop brought together researchers to discuss and foster collaborations on the intersection of these two areas.","2020","2021-07-20 15:23:37","2021-07-20 15:23:37","","3523–3524","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PI2ST7NS","conferencePaper","2020","Ivanova, Malinka","Methodology for Analysis of Gm-C Filters Based on Statistical, Fuzzy Logic and Machine Learning Approach","Proceedings of the 2020 3rd International Conference on Electronics and Electrical Engineering Technology","978-1-4503-8756-9","","10.1145/3429536.3429546","https://doi.org/10.1145/3429536.3429546","In the paper a new approach for analysis of Gm-C filters is presented that is suitable for automation of some engineering tasks and integration in CAD tools. The proposed methodology includes data gathering through simulation and circuit mathematical description, utilization of statistical experimental design technique, fuzzy logic method and machine learning algorithm. It is verified through analysis of a low pass Gm-C second order Butterworth filter and creation of several models: high level behavioral VHDL-AMS model of Gm-C active filter, statistical and fuzzy logic based model of inference and machine learning analytical model.","2020","2021-07-20 15:23:37","2021-07-20 15:23:37","","80–86","","","","","","","EEET '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Kitakyushu, Japan","","","","CAD; fuzzy logic; Gm-C filter; machine learning; statistical experimental design; VHDL-AMS behavioral model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EYX5CUXG","conferencePaper","2020","Pasandi, Ghasem; Peterson, Mackenzie; Herrera, Moises; Nazarian, Shahin; Pedram, Massoud","Deep-PowerX: A Deep Learning-Based Framework for Low-Power Approximate Logic Synthesis","Proceedings of the ACM/IEEE International Symposium on Low Power Electronics and Design","978-1-4503-7053-0","","10.1145/3370748.3406555","https://doi.org/10.1145/3370748.3406555","This paper aims at integrating three powerful techniques namely Deep Learning, Approximate Computing, and Low Power Design into a strategy to optimize logic at the synthesis level. We utilize advances in deep learning to guide an approximate logic synthesis engine to minimize the dynamic power consumption of a given digital CMOS circuit, subject to a predetermined error rate at the primary outputs. Our framework, Deep-PowerX1, focuses on replacing or removing gates on a technology-mapped network and uses a Deep Neural Network (DNN) to predict error rates at primary outputs of the circuit when a specific part of the netlist is approximated. The primary goal of Deep-PowerX is to reduce the dynamic power whereas area reduction serves as a secondary objective. Using the said DNN, Deep-PowerX is able to reduce the exponential time complexity of standard approximate logic synthesis to linear time. Experiments are done on numerous open source benchmark circuits. Results show significant reduction in power and area by up to 1.47× and 1.43× compared to exact solutions and by up to 22% and 27% compared to state-of-the-art approximate logic synthesis tools while having orders of magnitudes lower run-time.","2020","2021-07-20 15:23:37","2021-07-20 15:23:37","","73–78","","","","","","","ISLPED '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Boston, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"623ABU2K","conferencePaper","2020","England, Matthew","Real Quantifier Elimination by Cylindrical Algebraic Decomposition, and Improvements by Machine Learning","Proceedings of the 45th International Symposium on Symbolic and Algebraic Computation","978-1-4503-7100-1","","10.1145/3373207.3403981","https://doi.org/10.1145/3373207.3403981","Given a quantified logical formula whose atoms are polynomial constraints with real valued variables, Real Quantifier Elimination (QE) means to derive a logically equivalent formula which does not involve quantifiers or the quantified variables from the original statement. For example, Real QE would reduce the statement that there exists a real solution x to the quadratic equation x2 + bx + c = 0 to the equivalent condition on the discriminant: b2 - 4c ≥ 0. Tarski proved Real QE is always possible (with sufficient resources) [7].","2020","2021-07-20 15:23:37","2021-07-20 15:23:37","","13","","","","","","","ISSAC '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Kalamata, Greece","","","","cylindrical algebraic decomposition; quantifier elimination; software optimisation by machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
