KEY,Title,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,AVG,notes,questions
ACDMDN8W,A new neutrosophic TF-IDF term weighting for text mining tasks: text classification use case,1,1,1,1,1,1,1,0,0,0.7777777778,,Q1 Is there a clear and measurable research question?
BAMGPUCX,Sentence-Level Classification Using Parallel Fuzzy Deep Learning Classifier,1,1,1,1,1,1,1,0,1,0.8888888889,,"Q2 Is the study put into context of other studies and research, and design decisions justified accordingly? (Number of references in the literature review/ introduction)"
2PNFHS7L,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system,1,1,1,1,1,1,1,0,0,0.7777777778,,Q3 Is it clearly stated in the study which other algorithms the study’s algorithm(s) have been compared with?
JN4IZETG,autoBOT: evolving neuro-symbolic representations for explainable low resource text classification,1,1,1,1,1,1,1,1,1,1,,Q4 Are the performance metrics used in the study explained and justified?
RDSQSBN7,Relation Extraction in Dialogues: A Deep Learning Model Based on the Generality and Specialty of Dialogue Text,1,1,1,1,1,1,0,0,1,0.7777777778,,Q6 Does the test evidence support the findings presented?
3YFVRRKE,Hierarchical Graph Transformer-Based Deep Learning Model for Large-Scale Multi-Label Text Classification,1,1,1,1,1,1,1,0,1,0.8888888889,,Q7 Is the study algorithm sufficiently documented to be reproducible? (independent researchers arriving at the same results using their own data and methods)
JGU2SECC,Medical knowledge embedding based on recursive neural network for multi-disease diagnosis,1,1,1,1,1,1,1,0,0,0.7777777778,,"Q9 Are performance metrics provided? (hardware, training time, inference time)"
2-s2.0-85073214635,Leveraging Recursive Processing for Neural-Symbolic Affect-Target Associations,1,1,1,1,1,1,1,0,0,0.7777777778,,
7MMJY5BM,The CoRg Project: Cognitive Reasoning,1,1,0,0,1,0,0,1,1,0.5555555556,,
2-s2.0-85081092649,Hybrid deep neural networks to predict socio-moral reasoning skills,1,1,1,1,1,0,0,0,0,0.5555555556,"there is a link to github, but there is no code there.",
EGI547RA,Question Answering Systems with Deep Learning-Based Symbolic Processing,0,1,0,1,1,1,1,0,0,0.5555555556,,
2-s2.0-85113718164,Sememes-Based Framework for Knowledge Graph Embedding with Comprehensive-Information,1,1,1,1,1,1,1,0,0,0.7777777778,,
