Doc type,citation,Title,Abstract,Scopus Hash ID,DOI,Journal/Conference,Year,Business Use Case,Technical Application,Type of Learning,Key-intake,Contribution,Authors Definition of NeSy,Symbolic terms,Neural terms,NeSy Category,Kautz category,Datasets,Model description,Evaluation Metrics,Reported Score,Study Quality,Comments,MISC,leverages natural language structure,leverages relational structure,Knowledge representation,implicit vs explicit,reasoning,out-of-distribution generalization,interpretability,reduced data,transferability,NeSy (check if the authors label their work as NeSy),total,,,
ar,\cite{Pacheco_Goldwasser_2021},Modeling Content and Context with Deep Relational Learning,"Building models for realistic natural language tasks requires dealing with long texts and accounting for complicated structural dependencies. Neural-symbolic representations have emerged as a way to combine the reasoning capabilities of symbolic methods, with the expressiveness of neural networks. However, most of the existing frameworks for combining neural and symbolic representations have been designed for classic relational learning tasks that work over a universe of symbolic entities and relations. In this paper, we present DRaiL, an open-source declarative framework for specifying deep relational models, designed to support a variety of NLP scenarios. Our framework supports easy integration with expressive language encoders, and provides an interface to study the interactions between representation, inference and learning.",https://aclanthology.org/2021.tacl-1.7,10.1162/tacl_a_00357,Transactions of the Association for Computational Linguistics,2021,Language modeling,classification,supervised,"DRAIL uses a declarative language for defining deep relational models. It allows users to inject their knowledge by specifying dependencies between decisions using first-order logic rules, which are later compiled into a factor graph with neural potentials. In addition to probabilistic inference, DRAIL also models dependencies using a distributed knowledge representation, denoted RELNETS, which provides a shared representation space for entities and their relations, trained using a relational multi-task learning approach.","The main difference between DRAIL and these languages is that, in addition to graphical models, it uses distributed knowledge representations to represent dependencies.",,"first order logic (FOL),
Grounding,
factor graph","long short term memory (LSTM),
TransE,
transformer,
recurrent neural network (RNN)",nested,2. Symbolic[Neuro],debate.org,,F1,a little better than baselines,1,this was a tough read.,"they have a nice summary of NeSy architectures. Model exmplified on Stance prediction, Argumentation mining",FALSE,TRUE,logical,explicit,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2,,,
cp,\cite{Chen_Gao_Moss_2021},{N}eural{L}og: Natural Language Inference with Joint Neural and Logical Reasoning,"Deep learning (DL) based language models achieve high performance on various benchmarks for Natural Language Inference (NLI). And at this time, symbolic approaches to NLI are receiving less attention. Both approaches (symbolic and DL) have their advantages and weaknesses. However, currently, no method combines them in a system to solve the task of NLI. To merge symbolic and deep learning methods, we propose an inference framework called NeuralLog, which utilizes both a monotonicity-based logical inference engine and a neural network language model for phrase alignment. Our framework models the NLI task as a classic search problem and uses the beam search algorithm to search for optimal inference paths. Experiments show that our joint logic and neural inference system improves accuracy on the NLI task and can achieve state-of-art accuracy on the SICK and MED datasets.",https://aclanthology.org/2021.starsem-1.7,10.18653/v1/2021.starsem-1.7,,2021,Reading comprehension,generative,supervised,"Universal dependecy parser: Stanza,","First, we propose a new framework for combining logic-based inference with deeplearning-based network inference for better performance on conducting natural language inference. We model an NLI task as a path-searching problem between the premises and the hypothesis. We use beam-search to find an optimal path that can transform a premise to a hypothesis through a series of  inference steps.",,dependency parsing,transformer,nested,2. Symbolic[Neuro],SICK,"Sentence-BERT, BERT-large model
pre-trained on STS-B. ALBERT, ALBERT-base model
pretrained on MRPC from transformers. For word
alignment in the controller, Gensim framework to calculate
word similarity from pre-trained word embedding.",Precision/recall,Upto 90,0.6666666667,"Main goal is to convert a premise into hypothesis (NLI). Monotonicity (polarity) of each sentence is marked by Udep2mono, followed by various sentences are inferred by lexical (comparing polarised words with conceptnet and wordnet), phrasal (generation of trees) and syntactical (using transformer models). This search space is searched by beam search (sentence bert) to identify a optimal inference. Sentence inference controller (sentence representation graph, graph alignment, recommendation engine) helps to select the most appropriate inference.",We first pass the chunk pair to ALBERT to obtain the logits. Then we apply a softmax function to the logits to get the final probability.,FALSE,FALSE,frames,explicit,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4,,,
cp,\cite{Saveleva_Petukhova_Mosbach_Klakow_2021},Graph-based Argument Quality Assessment,"The paper presents a novel discourse-based approach to argument quality assessment defined as a graph classification task, where the depth of reasoning (argumentation) is evident from the number and type of detected discourse units and relations between them. We successfully applied state-of-the-art discourse parsers and machine learning models to reconstruct argument graphs with the identified and classified discourse units as nodes and relations between them as edges. Then Graph Neural Networks were trained to predict the argument quality assessing its acceptability, relevance, sufficiency and overall cogency. The obtained accuracy ranges from 74.5{\%} to 85.0{\%} and indicates that discourse-based argument structures reflect qualitative properties of natural language arguments. The results open many interesting prospects for future research in the field of argumentation mining.",https://aclanthology.org/2021.ranlp-1.143,,,2021,Argumentation mining,classification,supervised,Argument graph reconstruction involves: (1) segmentation of a text into EDUs; (2) discourse relation detection and classification between them; (3) identification and classification of ADUs based on the classified discourse relations; and (4) argument completion,"A novel approach to assessing  the structural  strength and inferential weakness of arguments as merits of argument cogency. The approach relies on the discourse-based reconstruction of argumentation schemes. SOTA discourse parsers are applied to this and machine learning models to reconstruct argument graphs where the identified discourse units are represented as nodes and the classified discourse relations between them as edges. A Graph Neural Network (GNN) model is built to predict the quality (low vs high) of the reconstructed argument grphs in terms of argument acceptability, relevance,  sufficiency and overall cogency.",,semantic parsing,graph neural network (GNN),compiled,4. Neuro: Symbolic → Neuro,Dagstuhl15512 ArgQuality,Argument graph is constructed from argument text by parsing. These graphs are checked for quality using GNNs. Multiple settings are considered for evaluation purpose. 1. Only graph structure 2. Glove embedding of EDU 3. BERt embedding of EDU,F1,Upto 65,0.7222222222,Argument graph is reconstructed from argument text by parsing the text.  These argument graphs are checked for cogency using GNN.,"Argumentative Discourse Units (ADUs) – text segments corresponding to propositions that are argumentatively relevant and have their own argumentative function. An EDU can function as a claim, as an evidence or as a conclusion.
We marked this as Rules for KR even though the input to the GNN is an argument graph (semantic net). The rules are the discourse relations used for argument graph construction.",TRUE,TRUE,rules,implicit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,They haven't tested on large dataset but for training they have considered small dataset.,,
cp,\cite{Gupta_Ghosal_Ekbal_2021},A Neuro-Symbolic Approach for Question Answering on Research Articles,"The number of research articles is increasing exponentially. It has become difficult for researchers to stay updated with the latest development in science with the deluge of papers. Hence, keeping abreast with the current literature is one of the most significant challenges to present-day researchers. However, if one can query a scientific article, they can quickly comprehend it and elicit the required information. Hence, a question-answering (QA) system on scholarly articles would be a helpful assistant for researchers to survey the literature. Recently logic-infused deep networks have been showing good  romise for solving several downstream NLP tasks. Here in this paper, we implement a neural network-based symbolic approach for QA on scholarly articles. We incorporate logical boolean functions into the deep network, significantly  mproving the model’s performance without additional parameters. Further, we reduce the dependency on domain-specific training data by using external knowledge from the ConceptNet. We perform our experiments on the benchmark  ScholarlyRead dataset and achieve significant performance improvement (∼ double) over the  baseline approach. We would make our codebase available here 1",https://aclanthology.org/2021.paclic-1.5,,,2021,Information extraction,information extraction,supervised,augmenting the network with conceptnet improves model performance,"Our main contribution in the current work is to build a robust QA system by injecting logical rules into a deep neural framework that achieves state-of-the-art performance for the benchmark ScholaryRead dataset (Saikh et al., 2020).",,"first order logic (FOL),
ontology","recurrent neural network (RNN),
BiDAF",compiled,4. Neuro: Symbolic → Neuro,ScholarlyRead,augmented BiDAF. this is a bi redirectional LSTM with extra neurons with logic functions for conceptnet relations,F1,2x of original BiDAF,0.5555555556,"introducing conceptnet and logic into the network nodes is an interesting approach. Unfortunately, the authors do not comapre their system to other QA benchmarks. The authors do not address any promises. There is a link to a github repo, but the repo is empty.","I originally labeled this L5 because the logic rules are constraints on the nodes. That's not strictly how L5 is defined by Kautz where loss function is constrained by logic. Perhaps this should be labeled L4 - either way, it's ""compiled"".
KBANN,CILP - constrain the model parameters (L4)",FALSE,TRUE,logical,explicit,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,,,
cp,\cite{Langton_Srihasam_2021},Applied Medical Code Mapping with Character-based Deep Learning Models and Word-based Logic,"Logical Observation Identifiers Names and Codes (LOINC) is a standard set of codes that enable clinicians to communicate about medical tests. Laboratories depend on LOINC to identify what tests a doctor orders for a patient. However, clinicians often use site specific, custom codes in their medical records systems that can include shorthand, spelling mistakes, and invented acronyms. Software solutions must map from these custom codes to the LOINC standard to support data interoperability. A key challenge is that LOINC is comprised of six elements. Mapping requires not only extracting those elements, but also combining them according to LOINC logic. We found that character-based deep learning excels at extracting LOINC elements while logic based methods are more effective for combining those elements into complete LOINC values. In this paper, we present an ensemble of machine learning and logic that is currently used in several medical facilities to map from",https://aclanthology.org/2021.naloma-1.2,,,2021,Annotation,information extraction,supervised,Combined character based GRU with logical statements,,,case based reasoning (CBR),recurrent neural network (RNN),sequential,1. symbolic Neuro symbolic,LOINC,Character based GRU is modeled to extract codes from noisy text. Followed by kind of priority based if else is applied to identify most suitable matching element and codes are generated. Based on weighted average of final code is selected.,Accuracy,Upto 90%,0.4444444444,Poor writing. Logical component is not that great. Even though authors mention that they have a neural component followed by inference engine. I belive instead of mentioning it as inference engine authors could use CBR. Inference engine is basically working of if else (I would say cbr) statements followed by weighted average.,,TRUE,FALSE,logical,explicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,
cp,\cite{Zhou_Richardson_2021},Temporal Reasoning on Implicit Events from Distant Supervision,"We propose TRACIE, a novel temporal reasoning dataset that evaluates the degree to which systems understand implicit events{---}events that are not mentioned explicitly in natural language text but can be inferred from it. This introduces a new challenge in temporal reasoning research, where prior work has focused on explicitly mentioned events. Human readers can infer implicit events via commonsense reasoning, resulting in a more comprehensive understanding of the situation and, consequently, better reasoning about time. We find, however, that state-of-the-art models struggle when predicting temporal relationships between implicit and explicit events. To address this, we propose a neuro-symbolic temporal reasoning model, SymTime, which exploits distant supervision signals from large-scale text and uses temporal rules to combine start times and durations to infer end times. SymTime outperforms strong baseline systems on TRACIE by 5{\%}, and by 11{\%} in a zero prior knowledge training setting. Our approach also generalizes to other temporal reasoning tasks, as evidenced by a gain of 1{\%}-9{\%} on MATRES, an explicit event benchmark.",https://aclanthology.org/2021.naacl-main.107,10.18653/v1/2021.naacl-main.107,,2021,Causal Reasoning,reasoning,supervised,The goal of TRACIE is to test a system’s ability to compare start and end times of non-extractive implicit  event phrases instead of extractive triggers from the context.  Label for the dataset is whether implicit event occured before/after (temporal relationship) explicit event.,"Dataset TRACIE is introduced (crowd sourcing). It consists 1. Context story 2. implicit event 3. explicit event 4. comparator 5. Label, temporal relation",,temporal logic,"recurrent neural network (RNN),
transformer",compiled,4. Neuro: Symbolic → Neuro,TRACIE,They have built two models PTNTIME and SYMTIME. PTNTIME; a pre-trained sequence-to-sequence (RNN) model as our base model and additionally pre-train this model using TRACIE. Maily PTNTIME learns temporal sequence and adjusts the weights. SYMTIME is transformer based model which considers PTNTIME weights.,Accuracy,Upto 75%,0.7222222222,"A transfomer model is pretrained on the dataset to understand distance between implicit and explicit events. Semantic Role Labelling of AllenNLPs is used to identify temporal verbs. PTNTIME serves as new set of temporally-aware model weights that can be used in place of existing pre-trained models and finetuned on TRACIE (Basically cts as generating embeddings for TRACIE dataset). SYMTIME, makes end-time comparisons by symbolically combining start time distance and duration from separate predictions.",,TRUE,FALSE,rules,implicit,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,generalization,,
cp,\cite{Verga_Sun_Baldini_2021},Adaptable and Interpretable Neural {M}emory{O}ver Symbolic Knowledge,"Past research has demonstrated that large neural language models (LMs) encode surprising amounts of factual information: however, augmenting or modifying this information requires modifying a corpus and retraining, which is computationally expensive. To address this problem, we develop a neural LM that includes an interpretable neuro-symbolic KB in the form of a {``}fact memory{''}. Each element of the fact memory is formed from a triple of vectors, where each vector corresponds to a KB entity or relation. Our LM improves performance on knowledge-intensive question-answering tasks, sometimes dramatically, including a 27 point increase in one setting of WebQuestionsSP over a state-of-the-art open-book model, despite using 5{\%} of the parameters. Most interestingly, we demonstrate that the model can be modified, without \textit{any} re-training, by updating the fact memory.",https://aclanthology.org/2021.naacl-main.288,10.18653/v1/2021.naacl-main.288,,2021,Question answering,information extraction,supervised,"LM is augmented with KB facts in memory modules indoe the transformer architecture. Through a variety of data filtering techniques, the authors show that augmenting with facts improves perfomance on out-of-distribution inputs compared to LLMs which ostensibly memorize the training set and are thus not able to generalize OOD.","FILM, a neural LM with an interpretable symbolically bound fact memory.",,knowledge graph (KG),transformer,compiled,4. Neuro: Symbolic → Neuro,"WebQuestionsSP,
TriviaQA",symbolic knowledge is embedded inside a transformer,Accuracy,significantly above baselines,0.7777777778,27 point increase in accuracy in some scenarios while using only 5% of the parameters (much smaller model),,FALSE,TRUE,semantic network,implicit,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,,,
cp,\cite{Zhang_Wang_Yu_Wang_Wang_Jiang_Lim_2021},{NOAHQA}: Numerical Reasoning with Interpretable Graph Question Answering Dataset,"While diverse question answering (QA) datasets have been proposed and contributed significantly to the development of deep learning models for QA tasks, the existing datasets fall short in two aspects. First, we lack QA datasets covering complex questions that involve answers as well as the reasoning processes to get them. As a result, the state-of-the-art QA research on numerical reasoning still focuses on simple calculations and does not provide the mathematical expressions or evidence justifying the answers. Second, the QA community has contributed a lot of effort to improve the interpretability of QA models. However, they fail to explicitly show the reasoning process, such as the evidence order for reasoning and the interactions between different pieces of evidence. To address the above shortcoming, we introduce NOAHQA, a conversational and bilingual QA dataset with questions requiring numerical reasoning with compound mathematical expressions. With NOAHQA, we develop an interpretable reasoning graph as well as the appropriate evaluation metric to measure the answer quality. We evaluate the state-of-the-art QA models trained using existing QA datasets on NOAHQA and show that the best among them can only achieve 55.5 exact match scores, while the human performance is 89.7. We also present a new QA model for generating a reasoning graph where the reasoning graph metric still has a large gap compared with that of humans, eg, 28 scores.",https://aclanthology.org/2021.findings-emnlp.350,10.18653/v1/2021.findings-emnlp.350,,2021,Question answering,reasoning,supervised,"Intepretebility, reasoning are not provided by existing QA models for complex maths questions. Task is to generate answers for all questions in conversations. given a background passage P, a history conversation QA1:(t−1) and the next question Qt , the task is to return a textual answer At to the next question Qt and generate a reasoning graph Gˆrt.","For evaluating of reasoning graph, we introduce an automatic evaluation method named DAGsim, considering the structural and semantic similarity at the same time between the predicted and ground-truth reasoning graphs. To facilitate the research along with reasoning graph, we also contribute a new model named Reasoning Graph Network (RGNet) for generating the reasoning graph.",,graph representation,convolutional neural network (CNN),compiled,4. Neuro: Symbolic → Neuro,"NOAHQA, DropQA, Math23k","three compononets in RGNet. 1. Encoder: segments in passage followed by ground truth QA followed by actual question. 2. Reasoning graph: A graph is built by considering question as root node, and BFS is used to construct RG. BFS traverses untill it finds passages in the leaf node.  GCN is applied to update weights of edges and nodes, in the last layer edge classification is applied. 3. Prediction model. 6 types of questions are divided into 2 categories, which is predicted by prediction model for further implementation (solving the math).",DAG_sim,Upto 64%,0.6666666667,"4 levels of prediction 1. answer type prediction, final layer to predict span or PGNet (span prediction for locating text span, and PGNet for producing arithmetic expressions) 2. Span prediction 3. Sequence generation (P1,P2, ... passage generation from text) 4. Edge classifier",,TRUE,TRUE,semantic network,explicit,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,,,
cp,\cite{Chaudhury_Sen_Ono_2021},Neuro-Symbolic Approaches for Text-Based Policy Learning,"Text-Based Games (TBGs) have emerged as important testbeds for reinforcement learning (RL) in the natural language domain. Previous methods using LSTM-based action policies are uninterpretable and often overfit the training games showing poor performance to unseen test games. We present SymboLic Action policy for Textual Environments (SLATE), that learns interpretable action policy rules from symbolic abstractions of textual observations for improved generalization. We outline a method for end-to-end differentiable symbolic rule learning and show that such symbolic policies outperform previous state-of-the-art methods in text-based RL for the coin collector environment from 5-10x fewer training games. Additionally, our method provides human-understandable policy rules that can be readily verified for their logical consistency and can be easily debugged.",https://aclanthology.org/2021.emnlp-main.245,10.18653/v1/2021.emnlp-main.245,,2021,Text games,reasoning,reinforcement,LNN behave as a logical conjunction connective with the forward function as the weighted Łukasiewicz t-norm.,A method for interpretable policy learning in text-based games from  symbolic state representation.,,rule induction,Logical Neural Network,compiled,4. Neuro: Symbolic → Neuro,Coin collecter,Exctration of symbolic facts -> (Symbolic MLP / LNN) { LNN in combination with lifted symbolic state and unlifted rules),Average success rate,Upto 100%,0.7777777778,"A neuro-symbolic approach for action policy learning in text-based  games using a differentiable rule learner from first-order symbolic inputs. Symbolic data is represeted in terms of triples. Depending on reward for vising each room directions are given to move. Ultimate goal is to exit the board from starting room with a huge reward. Directions are given as go, take. Two learning models are built i.e. Symbolic MLP and Logical Neural network.","Lifted models define patterns from which specific (ground) models can be unfolded.
Our goal is to learn symbolic rules as logical connectives for generating action commands by gradient-based training. We present a symbolic rule learning framework using both MLP with symbolic inputs and Logical Neural Network (LNN)
Also uses ConcetNet to extract structures from the input text.",TRUE,TRUE,logical,implicit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,zero shot,,
cp,\cite{Shi_Ding_Du_Liu_Qin_2021},Neural Natural Logic Inference for Interpretable Question Answering,"Many open-domain question answering problems can be cast as a textual entailment task, where a question and candidate answers are concatenated to form hypotheses. A QA system then determines if the supporting knowledge bases, regarded as potential premises, entail the hypotheses. In this paper, we investigate a neural-symbolic QA approach that integrates natural logic reasoning within deep learning architectures, towards developing effective and yet explainable question answering models. The proposed model gradually bridges a hypothesis and candidate premises following natural logic inference steps to build proof paths. Entailment scores between the acquired intermediate hypotheses and candidate premises are measured to determine if a premise entails the hypothesis. As the natural logic reasoning process forms a tree-like, hierarchical structure, we embed hypotheses and premises in a Hyperbolic space rather than Euclidean space to acquire more precise representations. Empirically, our method outperforms prior work on answering multiple-choice science questions, achieving the best results on two publicly available datasets. The natural logic inference process inherently provides evidence to help explain the prediction process.",https://aclanthology.org/2021.emnlp-main.298,10.18653/v1/2021.emnlp-main.298,,2021,Question answering,classification,supervised,combining natural logic with neural networks for interpretable question answering,"1) We introduce a novel framework NeuNLI, which combines the advantages of natural logic and deep neural networks for question answering. (2) Our proposed model provides step-by-step explanation for how the prediction was derived. (3) The proposed model achieves new state-of-the-art performance on two QA datasets.",,Natural Logic,transformer,cooperative,3. Neuro; Symbolic,"QA-S,
QA-L",input text -> extract candidate hypotheses using cos sim of Glove -> remove stopwords and other types of words with the help of POS tags -> use BERT masked words to find replacements -> NatLog to filter out erronuous mutations ->,F1,higher than baselines,0.7777777778,this work build on Manning. the whole pipeline seems pretty complicated and computaional cost is not reported.,,TRUE,FALSE,logical,explicit,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,,,
