Scopus-7693-Analyze-Year

"Your query : (TITLE-ABS-KEY ( ( ( ""sub-symbolic"" OR ""machine learning"" OR ""deep learning"" ) AND ( ""symbolic"" OR ""reasoning"" OR ""logic"" ) ) OR ( ""neuro-symbolic"" OR ""neural-symbolic"" OR ""neuro symbolic"" OR ""neural symbolic"" OR ""neurosymbolic"" ) ) AND PUBYEAR > 2010 AND ( LIMIT-TO ( SUBJAREA,""COMP"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) )"


Number of results : 7693

"YEAR",
"2022","76"
"2021","1514"
"2020","1520"
"2019","1410"
"2018","865"
"2017","576"
"2016","425"
"2015","365"
"2014","289"
"2013","221"
"2012","200"
"2011","232"
