KEY,Title,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
2-s2.0-85091286980,A Framework for a Comprehensive Conceptualization of Urban Constructs,1,1,0,0,0,0,0,1,1,0
ACDMDN8W,A new neutrosophic TF-IDF term weighting for text mining tasks: text classification use case,1,1,1,1,1,1,1,0,0,0
6DWCY3EC,Assessing cognitive alignment in different types of dialog by means of a network model,0.5,1,1,0.5,0.5,0.5,0,0,0,0
JN4IZETG,autoBOT: evolving neuro-symbolic representations for explainable low resource text classification,1,1,1,1,1,1,1,,1,1
2-s2.0-85087103850,Automated ontology-based annotation of scientific literature using deep learning,0,0.5,1,1,0.5,1,0,0,0,0
7YX447XS,Concept generalization and fusion for abstractive sentence generation,1,1,1,1,1,1,1,0,0,0
KTEHK4MZ,Deepening the IDA* algorithm for knowledge graph reasoning through neural network architecture,1,1,1,1,1,1,0,0,0,0
2FCUJH2G,From symbolic to sub-symbolic information in question classification,1,1,1,1,1,1,0,0,0,0
B47SSE6P,Fuzzy commonsense reasoning for multimodal sentiment analysis,1,1,1,1,1,1,0,0,1,0
2PNFHS7L,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system,1,1,1,1,1,1,1,0,0,0
3YFVRRKE,Hierarchical Graph Transformer-Based Deep Learning Model for Large-Scale Multi-Label Text Classification,1,1,1,1,1,1,1,0,0,0.5
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model,1,1,1,1,1,1,0,0,0,0
NB39QA35,Learning to activate logic rules for textual reasoning,1,1,1,0,1,1,1,0,0,0
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations,1,1,1,0.5,1,1,1,0,0,0
JGU2SECC,Medical knowledge embedding based on recursive neural network for multi-disease diagnosis,1,1,1,1,1,1,0.5,0,0,0
7I4CIKII,A modular architecture for transparent computation in recurrent neural networks,,,,,,,,,,
2-s2.0-85096590382,Neural-Symbolic Relational Reasoning on Graph Models: Effective Link Inference and Computation from Knowledge Bases,1,1,1,1,1,0.5,1,0.5,0,0
PD2A2ZVV,"Ontology based E-learning framework: A personalized, adaptive and context aware model",1,0,0,1,0.5,1,1,0,0,0
676S4D2D,The RatioLog Project: Rational Extensions of Logical Reasoning,,,,,,,,,,
EGI547RA,Question Answering Systems with Deep Learning-Based Symbolic Processing,0,1,0,1,1,1,1,0,0,0
GIC4LEU4,Reasoning about goal revelation in human negotiation,0.5,1,0.5,1,0,1,0,0,0,0
RDSQSBN7,Relation Extraction in Dialogues: A Deep Learning Model Based on the Generality and Specialty of Dialogue Text,,,,,,,,,1,0.5
74QZV8X9,Robust reasoning over heterogeneous textual information for fact verification,0.5,0.5,1,1,1,1,1,0,0,0
2-s2.0-85113718164,Sememes-Based Framework for Knowledge Graph Embedding with Comprehensive-Information,0.5,0.5,0.5,1,1,0.5,1,0,0,0
GS3TRUYZ,Semi-supervised learning for big social data analysis,1,1,1,1,1,1,0,0,0,1
BAMGPUCX,Sentence-Level Classification Using Parallel Fuzzy Deep Learning Classifier,1,1,1,1,1,1,1,0,0,1
4EF4BXD9,Solving the twitter sentiment analysis problem based on a machine learning-based approach,0.5,0.5,0.5,1,",5",1,1,0,0,0.5
7MMJY5BM,The CoRg Project: Cognitive Reasoning,1,0,0,0,1,0,0,1,1,1
2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis,1,1,1,1,1,1,1,0,0,1
