,EID,Title,References
0,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model,"Ahn, S., Choi, H., Pärnamaa, T., Bengio, Y., (2017) A neural knowledge language model, , CoRR abs/1608.00318"
1,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Bengio, Y., Schwenk, H., Senecal, J.-S., Morin, F., Gauvain, J.-L., (2006) Neural probabilistic language models"
2,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Besold, T. R., d'Avila Garcez, A. S., Bader, S., Bowman, H., Domingos, P. M., Hitzler, P., Kühnberger, K.-U., Zaverucha, G., (2017) Neural-symbolic learning and reasoning: A survey and interpretation, , ArXiv abs/1711.03902"
3,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Chelba, C., Mikolov, T., Schuster, M., Ge, Q., Brants, T., Koehn, P., One billion word benchmark for measuring progress in statistical language modeling (2013) INTERSPEECH"
4,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Firth, J. R., (1957) A synopsis of linguistic theory 1930-55, pp. 1-32. , 1952 59"
5,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," (2019) GeoNames, , http://geonames.org"
6,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Grave, E., Joulin, A., Usunier, N., (2017) Improving neural language models with a continuous cache, , CoRR abs/1612.04426"
7,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Hupkes, D., Zuidema, W. H., Visualisation and 'diagnostic classifiers' reveal how recurrent and recursive neural networks process hierarchical structure (extended abstract) (2018) IJCAI"
8,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Jean, S., Cho, K., Memisevic, R., Bengio, Y., On using very large target vocabulary for neural machine translation (2015) ACL"
9,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Jozefowicz, R., Vinyals, O., Schuster, M., Shazeer, N., Wu, Y., (2016) Exploring the limits of language modeling, , CoRR abs/1602.02410"
10,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Kordopatis-Zilos, G., Papadopoulos, S., Kompatsiaris, Y., Geotagging text content with language models and feature mining (2017) Proceedings of the IEEE, 105, pp. 1971-1986"
11,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Krause, B., Kahembwe, E., Murray, I., Renals, S., (2019) Dynamic evaluation of transformer language models, , CoRR abs/1904.08378"
12,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Kushman, N., Zettlemoyer, L. S., Barzilay, R., Artzi, Y., Learning to automatically solve algebra word problems (2014) ACL"
13,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Marcus, G., (2018) Deep learning: A critical appraisal, , CoRR abs/1801.00631"
14,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Merity, S., Keskar, N. S., Socher, R., (2017) Regularizing and optimizing lstm language models, , ArXiv abs/1708.02182"
15,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Morin, F., Bengio, Y., Hierarchical probabilistic neural network language model (2005) AISTATS"
16,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," O'Hare, N., Murdock, V., Modeling locations with social media (2012) Information Retrieval, 16, pp. 30-62"
17,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Pennington, J., Socher, R., Manning, C. D., Glove: Global vectors for word representation (2014) EMNLP"
18,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Radford, A., Wu, J., Child, R., Luan, D., Amodei, D., Sutskever, I., (2019) Language models are unsupervised multitask learners"
19,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Roy, S., Roth, D., Solving general arithmetic word problems (2015) EMNLP"
20,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Smart, P. D., Jones, C. B., Twaroch, F. A., Multisource toponym data integration and mediation for a metagazetteer service (2010) GIScience"
21,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Spithourakis, G. P., Riedel, S., (2018) Numeracy for language models: Evaluating and improving their ability to predict numbers, , CoRR abs/1805.08154"
22,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Spithourakis, G. P., Augenstein, I., Riedel, S., Numerically grounded language models for semantic error correction (2016) EMNLP"
23,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Tobler, W. R., (1970) A computer movie simulating urban growth in the detroit region"
24,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Yang, Z., Dai, Z., Salakhutdinov, R. R., Cohen, W. W., (2018) Breaking the softmax bottleneck: A high-rank rnn language model, , CoRR abs/1711.03953"
