EID_x,Title_x,References,ref_title,Authors,Title_y,Abstract,DOI,Year,Cited by,Author Keywords,Index Keywords,EID_y
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model,"Ahn, S., Choi, H., Pärnamaa, T., Bengio, Y., (2017) A neural knowledge language model, , CoRR abs/1608.00318",,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Bengio, Y., Schwenk, H., Senecal, J.-S., Morin, F., Gauvain, J.-L., (2006) Neural probabilistic language models",,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Besold, T. R., d'Avila Garcez, A. S., Bader, S., Bowman, H., Domingos, P. M., Hitzler, P., Kühnberger, K.-U., Zaverucha, G., (2017) Neural-symbolic learning and reasoning: A survey and interpretation, , ArXiv abs/1711.03902",,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Chelba, C., Mikolov, T., Schuster, M., Ge, Q., Brants, T., Koehn, P., One billion word benchmark for measuring progress in statistical language modeling (2013) INTERSPEECH",One billion word benchmark for measuring progress in statistical language modeling,"Chelba C., Mikolov T., Schuster M., Ge Q., Brants T., Koehn P.",One billion word benchmark for measuring progress in statistical language modeling,[No abstract available],,2013.0,5.0,,,2-s2.0-85076501349
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Firth, J. R., (1957) A synopsis of linguistic theory 1930-55, pp. 1-32. , 1952 59",,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," (2019) GeoNames, , http://geonames.org",,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Grave, E., Joulin, A., Usunier, N., (2017) Improving neural language models with a continuous cache, , CoRR abs/1612.04426",,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Hupkes, D., Zuidema, W. H., Visualisation and 'diagnostic classifiers' reveal how recurrent and recursive neural networks process hierarchical structure (extended abstract) (2018) IJCAI",Visualisation and 'diagnostic classifiers' reveal how recurrent and recursive neural networks process hierarchical structure (extended abstract),,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Jean, S., Cho, K., Memisevic, R., Bengio, Y., On using very large target vocabulary for neural machine translation (2015) ACL",On using very large target vocabulary for neural machine translation,"Jean S., Cho K., Memisevic R., Bengio Y.",On using very large target vocabulary for neural machine translation,"Neural machine translation, a recently proposed approach to machine translation based purely on neural networks, has shown promising results compared to the existing approaches such as phrasebased statistical machine translation. Despite its recent success, neural machine translation has its limitation in handling a larger vocabulary, as training complexity as well as decoding complexity increase proportionally to the number of target words. In this paper, we propose a method based on importance sampling that allows us to use a very large target vocabulary without increasing training complexity. We show that decoding can be efficiently done even with the model having a very large target vocabulary by selecting only a small subset of the whole target vocabulary. The models trained by the proposed approach are empirically found to match, and in some cases outperform, the baseline models with a small vocabulary as well as the LSTM-based neural machine translation models. Furthermore, when we use an ensemble of a few models with very large target vocabularies, we achieve performance comparable to the state of the art (measured by BLEU) on both the English!German and English!French translation tasks of WMT'14. © 2015 Association for Computational Linguistics.",10.3115/v1/p15-1001,2015.0,309.0,,Complex networks; Computational linguistics; Computer aided language translation; Decoding; Importance sampling; Natural language processing systems; Baseline models; Decoding complexity; Machine translation models; Machine translations; Phrase-based statistical machine translation; State of the art; Target words; Training complexity; Long short-term memory,2-s2.0-84943744936
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Jozefowicz, R., Vinyals, O., Schuster, M., Shazeer, N., Wu, Y., (2016) Exploring the limits of language modeling, , CoRR abs/1602.02410",,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Kordopatis-Zilos, G., Papadopoulos, S., Kompatsiaris, Y., Geotagging text content with language models and feature mining (2017) Proceedings of the IEEE, 105, pp. 1971-1986",Geotagging text content with language models and feature mining,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Krause, B., Kahembwe, E., Murray, I., Renals, S., (2019) Dynamic evaluation of transformer language models, , CoRR abs/1904.08378",,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Kushman, N., Zettlemoyer, L. S., Barzilay, R., Artzi, Y., Learning to automatically solve algebra word problems (2014) ACL",Learning to automatically solve algebra word problems,"Kushman N., Zettlemoyer L., Barzilay R., Artzi Y.",Learning to automatically solve algebra word problems,[No abstract available],,2014.0,7.0,,,2-s2.0-85007150187
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Marcus, G., (2018) Deep learning: A critical appraisal, , CoRR abs/1801.00631",,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Merity, S., Keskar, N. S., Socher, R., (2017) Regularizing and optimizing lstm language models, , ArXiv abs/1708.02182",,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Morin, F., Bengio, Y., Hierarchical probabilistic neural network language model (2005) AISTATS",Hierarchical probabilistic neural network language model,"Morin F., Bengio Y.",Hierarchical probabilistic neural network language model,"In recent years, variants of a neural network architecture for statistical language modeling have been proposed and successfully applied, e.g. in the language modeling component of speech recognizers. The main advantage of these architectures is that they learn an embedding for words (or other symbols) in a continuous space that helps to smooth the language model and provide good generalization even when the number of training examples is insufficient. However, these models are extremely slow in comparison to the more commonly used n-gram models, both for training and recognition. As an alternative to an importance sampling method proposed to speed-up training, we introduce a hierarchical decomposition of the conditional probabilities that yields a speed-up of about 200 both during training and recognition. The hierarchical decomposition is a binary hierarchical clustering constrained by the prior knowledge extracted from the WordNet semantic hierarchy.",,2005.0,544.0,,Conditional probabilities; Continuous spaces; Hier-archical clustering; Hierarchical decompositions; Importance sampling method; Language model; Language modeling; N-gram models; Prior knowledge; Probabilistic neural networks; Speech recognizer; Statistical language modeling; Training example; WordNet semantics; Network architecture; Neural networks; Semantics; Computational linguistics,2-s2.0-34547997987
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," O'Hare, N., Murdock, V., Modeling locations with social media (2012) Information Retrieval, 16, pp. 30-62",Modeling locations with social media,"O'Hare N., Murdock V.",Modeling locations with social media,"In this paper we focus on the locations explicit and implicit in users descriptions of their surroundings. We propose a statistical language modeling approach to identifying locations in arbitrary text, and investigate several ways to estimate the models, based on the term frequency and the user frequency. The geotagged public photos in Flickr serve as a convenient ground truth. Our results show that we can predict location within a one kilometer by one kilometer cell with 17 % accuracy, and within a three kilometer radius around such a one kilometer cell with 40 % accuracy, using only a photo's tags. This is significantly better than the state of the art. Further we examine several estimation strategies that leverage the physical proximity of places, and show that for sparsely represented locations, smoothing from the immediate neighborhood improves results. We also show that estimation strategies based on user frequency are much more reliable than approaches based on the raw term frequency. © 2012 Springer Science+Business Media, LLC.",10.1007/s10791-012-9195-y,2013.0,33.0,Flickr; Geographic context; Geotagging; Language models; User-generated content,,2-s2.0-84873526618
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Pennington, J., Socher, R., Manning, C. D., Glove: Global vectors for word representation (2014) EMNLP",Glove: Global vectors for word representation,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Radford, A., Wu, J., Child, R., Luan, D., Amodei, D., Sutskever, I., (2019) Language models are unsupervised multitask learners",,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Roy, S., Roth, D., Solving general arithmetic word problems (2015) EMNLP",Solving general arithmetic word problems,"Roy S., Roth D.",Solving general arithmetic word problems,"This paper presents a novel approach to automatically solving arithmetic word problems. This is the first algorithmic approach that can handle arithmetic problems with multiple steps and operations, without depending on additional annotations or predefined templates. We develop a theory for expression trees that can be used to represent and evaluate the target arithmetic expressions; we use it to uniquely decompose the target arithmetic problem to multiple classification problems; we then compose an expression tree, combining these with world knowledge through a constrained inference framework. Our classifiers gain from the use of quantity schemas that supports better extraction of features. Experimental results show that our method outperforms existing systems, achieving state of the art performance on benchmark datasets of arithmetic word problems. © 2015 Association for Computational Linguistics.",10.18653/v1/d15-1202,2015.0,65.0,,Benchmarking; Forestry; Algorithmic approach; Arithmetic expression; Benchmark datasets; Existing systems; Multiple Classification; State-of-the-art performance; Word problem; World knowledge; Natural language processing systems,2-s2.0-84959934544
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Smart, P. D., Jones, C. B., Twaroch, F. A., Multisource toponym data integration and mediation for a metagazetteer service (2010) GIScience",Multisource toponym data integration and mediation for a metagazetteer service,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Spithourakis, G. P., Riedel, S., (2018) Numeracy for language models: Evaluating and improving their ability to predict numbers, , CoRR abs/1805.08154",,,,,,,,,,
