Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Sponsors,Conference name,Conference date,Conference location,Conference code,Document Type,Publication Stage,Open Access,Source,EID
"Zadeh L.A.","24613216300;","Fuzzy sets",1965,"Information and Control","8","3",,"338","353",,55488,"10.1016/S0019-9958(65)90241-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248666540&doi=10.1016%2fS0019-9958%2865%2990241-X&partnerID=40&md5=52dbe1d1e74f322d2c9f6532ac332a8c","A fuzzy set is a class of objects with a continuum of grades of membership. Such a set is characterized by a membership (characteristic) function which assigns to each object a grade of membership ranging between zero and one. The notions of inclusion, union, intersection, complement, relation, convexity, etc., are extended to such sets, and various properties of these notions in the context of fuzzy sets are established. In particular, a separation theorem for convex fuzzy sets is proved without requiring that the fuzzy sets be disjoint. © 1965 Academic Press, Inc.",,,,,,,,Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-34248666540
"Krizhevsky A., Sutskever I., Hinton G.E.","40761762200;24831264500;7006699573;","ImageNet classification with deep convolutional neural networks",2012,"Advances in Neural Information Processing Systems","2",,,"1097","1105",,54278,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876231242&partnerID=40&md5=621b2cd1757ccc77341281f8a2f2ecaf","We trained a large, deep convolutional neural network to classify the 1.2 million high-resolution images in the ImageNet LSVRC-2010 contest into the 1000 different classes. On the test data, we achieved top-1 and top-5 error rates of 37.5% and 17.0% which is considerably better than the previous state-of-the-art. The neural network, which has 60 million parameters and 650,000 neurons, consists of five convolutional layers, some of which are followed by max-pooling layers, and three fully-connected layers with a final 1000-way softmax. To make training faster, we used non-saturating neurons and a very efficient GPU implementation of the convolution operation. To reduce overfitting in the fully-connected layers we employed a recently-developed regularization method called ""dropout"" that proved to be very effective. We also entered a variant of this model in the ILSVRC-2012 competition and achieved a winning top-5 test error rate of 15.3%, compared to 26.2% achieved by the second-best entry.",,"Convolutional neural network; Different class; GPU implementation; High resolution image; Max-pooling; Overfitting; Regularization methods; Test errors; Convolution; Neural networks","Winton Capital Management;Google;Pascal2;EMC2 Greenplum;Facebook","26th Annual Conference on Neural Information Processing Systems 2012, NIPS 2012","3 December 2012 through 6 December 2012","Lake Tahoe, NV",96883,Conference Paper,"Final","",Scopus,2-s2.0-84876231242
"Goldberg D.E.","",[No title available],1989,"Genetic Algorithms in Search, Optimization and Machine Learning",,,,"","",,48949,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-0003722376
"Vapnik V.","",[No title available],1995,"The Nature of Statistical Learning Theory",,,,"","",,36857,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0003450542
"Hastie T., Tibshirani R., Friedman J.","",[No title available],2001,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction",,,,"","",,33651,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0003684449
"Hochreiter S., Schmidhuber J.","6602873810;7003514621;","Long Short-Term Memory",1997,"Neural Computation","9","8",,"1735","1780",,32546,"10.1162/neco.1997.9.8.1735","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031573117&doi=10.1162%2fneco.1997.9.8.1735&partnerID=40&md5=6e4ee65c4bc5399487e5a65f4186aa19","Learning to store information over extended time intervals by recurrent backpropagation takes a very long time, mostly because of insufficient, decaying error backflow. We briefly review Hochreiter's (1991) analysis of this problem, then address it by introducing a novel, efficient, gradient-based method called long short-term memory (LSTM). Truncating the gradient where this does not do harm, LSTM can learn to bridge minimal time lags in excess of 1000 discrete-time steps by enforcing constant error flow through constant error carousels within special units. Multiplicative gate units learn to open and close access to the constant error flow. LSTM is local in space and time; its computational complexity per time step and weight is O(1). Our experiments with artificial data involve local, distributed, real-valued, and noisy pattern representations. In comparisons with real-time recurrent learning, back propagation through time, recurrent cascade correlation, Elman nets, and neural sequence chunking, LSTM leads to many more successful runs, and learns much faster. LSTM also solves complex, artificial long-time-lag tasks that have never been solved by previous recurrent network algorithms.",,"algorithm; article; artificial neural network; biological model; learning; memory; nerve cell network; physiology; psychological model; short term memory; time; Algorithms; Learning; Memory; Memory, Short-Term; Models, Neurological; Models, Psychological; Nerve Net; Neural Networks (Computer); Time Factors",,,,,,Article,"Final","",Scopus,2-s2.0-0031573117
"Cortes C., Vapnik V.","8850433300;6604096045;","Support-Vector Networks",1995,"Machine Learning","20","3",,"273","297",,30832,"10.1023/A:1022627411411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249753618&doi=10.1023%2fA%3a1022627411411&partnerID=40&md5=97a8591c7d55575e8c48344379ee2796","The support-vector network is a new learning machine for two-group classification problems. The machine conceptually implements the following idea: input vectors are non-linearly mapped to a very high-dimension feature space. In this feature space a linear decision surface is constructed. Special properties of the decision surface ensures high generalization ability of the learning machine. The idea behind the support-vector network was previously implemented for the restricted case where the training data can be separated without errors. We here extend this result to non-separable training data. High generalization ability of support-vector networks utilizing polynomial input transformations is demonstrated. We also compare the performance of the support-vector network to various classical learning algorithms that all took part in a benchmark study of Optical Character Recognition. © 1995, Kluwer Academic Publishers. All rights reserved.","efficient learning algorithms; neural networks; pattern recognition; polynomial classifiers; radial basis function classifiers",,,,,,,Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-34249753618
"Kingma D., Ba J.","","Adam: A method for stochastic optimization",2014,"Adam: A Method for Stochastic Optimization",,,,"","",,30786,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-84941620184
"Lecun Y., Bengio Y., Hinton G.","55666793600;7003958245;7006699573;","Deep learning",2015,"Nature","521","7553",,"436","444",,30315,"10.1038/nature14539","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930630277&doi=10.1038%2fnature14539&partnerID=40&md5=e324cb9ec992f892ebc74f3e06078083","Deep learning allows computational models that are composed of multiple processing layers to learn representations of data with multiple levels of abstraction. These methods have dramatically improved the state-of-the-art in speech recognition, visual object recognition, object detection and many other domains such as drug discovery and genomics. Deep learning discovers intricate structure in large data sets by using the backpropagation algorithm to indicate how a machine should change its internal parameters that are used to compute the representation in each layer from the representation in the previous layer. Deep convolutional nets have brought about breakthroughs in processing images, video, speech and audio, whereas recurrent nets have shone light on sequential data such as text and speech. © 2015 Macmillan Publishers Limited. All rights reserved.",,"data processing; data set; machine learning; parameterization; automatic speech recognition; classifier; deep learning; human; image processing; language processing; learning; learning algorithm; learning theory; machine learning; nonhuman; pattern recognition; priority journal; recognition; Review; speech discrimination; algorithm; artificial intelligence; artificial neural network; computer; language; trends; Algorithms; Artificial Intelligence; Computers; Language; Neural Networks (Computer)",,,,,,Review,"Final","",Scopus,2-s2.0-84930630277
"Pedregosa F., Varoquaux G., Gramfort A., Michel V., Thirion B., Grisel O., Blondel M., Prettenhofer P., Weiss R., Dubourg V., Vanderplas J., Passos A., Cournapeau D., Brucher M., Perrot M., Duchesnay É.","42762055900;12808763400;23388890700;35752411900;7004721247;54379893900;36622153000;26422339000;57226353962;56633293500;35111982900;55377126700;24342730900;24398447700;7003415534;16174724800;","Scikit-learn: Machine learning in Python",2011,"Journal of Machine Learning Research","12",,,"2825","2830",,27209,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80555140075&partnerID=40&md5=63e53cee7a9711760872d4d103e5453a","Scikit-learn is a Python module integrating a wide range of state-of-the-art machine learning algorithms for medium-scale supervised and unsupervised problems. This package focuses on bringing machine learning to non-specialists using a general-purpose high-level language. Emphasis is put on ease of use, performance, documentation, and API consistency. It has minimal dependencies and is distributed under the simplified BSD license, encouraging its use in both academic and commercial settings. Source code, binaries, and documentation can be downloaded from http://scikit-learn.sourceforge.net.","Model selection; Python; Supervised learning; Unsupervised learning","Commercial settings; Ease of use; Model Selection; Python; Source codes; Learning algorithms; Learning systems; High level languages",,,,,,Article,"Final","",Scopus,2-s2.0-80555140075
