Scopus Source ID,Title,Citation Count,Scholarly Output,Percent Cited,CiteScore 2020,SNIP,SJR,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Percentile,RANK,Rank Out Of,Publisher,Type,Open Access,Quartile,Top 10% (CiteScore Percentile),URL Scopus Source ID,Print ISSN,E-ISSN
12125,Behaviour and Information Technology,1608,358,80,4.5,1.243,0.641,1709,Human-Computer Interaction,62,46,120,Taylor & Francis,j, NO,2,FALSE,https://www.scopus.com/sourceid/12125,0144929X,13623001
12137,Journal of Statistical Software,4740,279,76,17,7.237,7.636,1712,Software,97,10,389,University of California Press,j, YES,1,TRUE,https://www.scopus.com/sourceid/12137,15487660,
12166,Mathematics and Computers in Simulation,2972,738,76,4,1.433,0.541,1700,Computer Science (all),77,52,226,Elsevier,j, NO,1,FALSE,https://www.scopus.com/sourceid/12166,3784754,
12170,"Modeling, Identification and Control",111,60,53,1.9,0.758,0.217,1706,Computer Science Applications,39,421,693,The Research Council of Norway,j, YES,3,FALSE,https://www.scopus.com/sourceid/12170,3327353,18901328
12170,"Modeling, Identification and Control",111,60,53,1.9,0.758,0.217,1712,Software,28,278,389,The Research Council of Norway,j, YES,3,FALSE,https://www.scopus.com/sourceid/12170,3327353,18901328
12188,Simulation and Gaming,654,155,96,4.2,1.052,0.51,1706,Computer Science Applications,69,210,693,SAGE,j, NO,2,FALSE,https://www.scopus.com/sourceid/12188,10468781,1552826X
12189,Simulation Modelling Practice and Theory,2705,443,85,6.1,1.673,0.554,1708,Hardware and Architecture,78,35,157,Elsevier,j, NO,1,FALSE,https://www.scopus.com/sourceid/12189,1569190X,
12189,Simulation Modelling Practice and Theory,2705,443,85,6.1,1.673,0.554,1712,Software,75,95,389,Elsevier,j, NO,1,FALSE,https://www.scopus.com/sourceid/12189,1569190X,
12213,ACM Transactions on Computer Systems,116,26,77,4.5,1.681,0.343,1700,Computer Science (all),80,45,226,ACM,j, NO,1,FALSE,https://www.scopus.com/sourceid/12213,7342071,15577333
12222,"Conference Record of the Asilomar Conference on Signals, Systems and Computers",1968,1148,53,1.7,0.366,0.238,1705,Computer Networks and Communications,38,206,334,IEEE,p, NO,3,FALSE,https://www.scopus.com/sourceid/12222,10586393,
12222,"Conference Record of the Asilomar Conference on Signals, Systems and Computers",1968,1148,53,1.7,0.366,0.238,1711,Signal Processing,32,73,108,IEEE,p, NO,3,FALSE,https://www.scopus.com/sourceid/12222,10586393,
12262,Formal Methods in System Design,373,83,81,4.5,1.066,0.334,1708,Hardware and Architecture,64,57,157,Springer Nature,j, NO,2,FALSE,https://www.scopus.com/sourceid/12262,9259856,15728102
12262,Formal Methods in System Design,373,83,81,4.5,1.066,0.334,1712,Software,61,152,389,Springer Nature,j, NO,2,FALSE,https://www.scopus.com/sourceid/12262,9259856,15728102
12264,Future Generation Computer Systems,34905,2632,90,13.3,2.72,1.262,1708,Hardware and Architecture,97,5,157,Elsevier,j, NO,1,TRUE,https://www.scopus.com/sourceid/12264,0167739X,
12264,Future Generation Computer Systems,34905,2632,90,13.3,2.72,1.262,1705,Computer Networks and Communications,96,12,334,Elsevier,j, NO,1,TRUE,https://www.scopus.com/sourceid/12264,0167739X,
12264,Future Generation Computer Systems,34905,2632,90,13.3,2.72,1.262,1712,Software,95,18,389,Elsevier,j, NO,1,TRUE,https://www.scopus.com/sourceid/12264,0167739X,
