Key,Title,include_aparna,include_kyle
WLW49ADY,Neural-symbolic integration and the Semantic Web,1,1
YXUZIQIU,Towards bridging the neuro-symbolic gap: deep deductive reasoners,1,1
EX5ZGV3N,Neural probabilistic logic programming in DeepProbLog,1,1
YCQKU49S,Learning Łukasiewicz logic,1,1
NPTPCDHQ,Deep Logic Networks: Inserting and Extracting Knowledge from Deep Belief Networks,1,1
X9XE9Y2I,Weightless neuro-symbolic GPS trajectory classification,1,0
LIJBLYR5,Special issue on Semantic Deep Learning,0,1
5FLUBV5A,Regularizing deep networks with prior knowledge: A constraint-based approach[Formula presented],0,1
QTYPBWY7,Fast relational learning using bottom clause propositionalization with artificial neural networks,1,1
PK2SIRSE,A historical perspective of explainable Artificial Intelligence,0,0
KIRM4EBZ,Informed Machine Learning - A Taxonomy and Survey of Integrating Prior Knowledge into Learning Systems,1,1
K8KF6UMX,NeuroSymbolic integration with uncertainty,1,1
FVUVUB3N,Semantic referee: A neural-symbolic framework for enhancing geospatial semantic segmentation,1,1
2TUT8Z5S,"Modular design patterns for hybrid learning and reasoning systems: a taxonomy, patterns and use cases",1,1
Y3PYNSZX,Unifying neural learning and symbolic reasoning for spinal medical report generation,1,0
7CM6V7SH,Fuzzy and neuro-symbolic approaches in personal credit scoring: Assessment of bank loan applicants,1,0
TPT5W9FR,Assessment of life insurance applications: An approach integrating neuro-symbolic rule-based with case-based reasoning,1,0
B6HMY5VN,Ontology reasoning with deep neural networks,1,1
HMMJSAAE,Reasoning in Non-probabilistic Uncertainty: Logic Programming and Neural-Symbolic Computing as Examples,1,1
YR46S9XC,Integrated data and knowledge driven methodology for human activity recognition,0,0
A84GZVVK,The limits and potentials of deep learning for robotics,0,0
NAKSBACG,Beneficial and harmful explanatory machine learning,1,0
9W2TRGDW,Application of human computing in image captioning under deep learning,0,0
9VD974LX,"Machine learning, inductive reasoning, and reliability of generalisations",1,1
2FCUJH2G,From symbolic to sub-symbolic information in question classification,1,0
W25MFCK4,TensorLog: A probabilistic database implemented using deep-learning infrastructure,1,1
V3QFHYAM,Requirements Engineering in the Days of Artificial Intelligence,1,0
ZN3Q37BX,ObjectAction Complexes: Grounded abstractions of sensorymotor processes,0,0
TA7789L5,Beyond engagement: an EEG-based methodology for assessing user’s confusion in an educational game,0,0
JGU2SECC,Medical knowledge embedding based on recursive neural network for multi-disease diagnosis,0,1
Q4V9P98H,Mutual Explanations for Cooperative Decision Making in Medicine,0,0
7MMJY5BM,The CoRg Project: Cognitive Reasoning,1,1
XNAC7N7B,Improving efficiency of merging symbolic rules into integrated rules: Splitting methods and mergability criteria,1,1
B7EZ93DX,Verify and measure the quality of rule based machine leaning,1,0
6LD73KV7,Predicate invention-based specialization in Inductive Logic Programming,0,0
676S4D2D,The RatioLog Project: Rational Extensions of Logical Reasoning,0,1
8Y85NX6C,Symbolic-neural rule based reasoning and explanation,1,1
5JDIL466,Can deep networks learn to play by the rules? A case study on nine Men's Morris,0,1
E7HRHIKT,Can artificial intelligency revolutionize drug discovery?,0,0
LFHAX2JG,Probabilistic event calculus for event recognition,1,0
