Key,Title,include_aparna,include_kyle
WLW49ADY,Neural-symbolic integration and the Semantic Web,1,1
YXUZIQIU,Towards bridging the neuro-symbolic gap: deep deductive reasoners,1,1
EX5ZGV3N,Neural probabilistic logic programming in DeepProbLog,1,1
YCQKU49S,Learning Łukasiewicz logic,1,1
NPTPCDHQ,Deep Logic Networks: Inserting and Extracting Knowledge from Deep Belief Networks,1,1
QTYPBWY7,Fast relational learning using bottom clause propositionalization with artificial neural networks,1,1
KIRM4EBZ,Informed Machine Learning - A Taxonomy and Survey of Integrating Prior Knowledge into Learning Systems,1,1
K8KF6UMX,NeuroSymbolic integration with uncertainty,1,1
FVUVUB3N,Semantic referee: A neural-symbolic framework for enhancing geospatial semantic segmentation,1,1
2TUT8Z5S,"Modular design patterns for hybrid learning and reasoning systems: a taxonomy, patterns and use cases",1,1
B6HMY5VN,Ontology reasoning with deep neural networks,1,1
HMMJSAAE,Reasoning in Non-probabilistic Uncertainty: Logic Programming and Neural-Symbolic Computing as Examples,1,1
9VD974LX,"Machine learning, inductive reasoning, and reliability of generalisations",1,1
W25MFCK4,TensorLog: A probabilistic database implemented using deep-learning infrastructure,1,1
7MMJY5BM,The CoRg Project: Cognitive Reasoning,1,1
XNAC7N7B,Improving efficiency of merging symbolic rules into integrated rules: Splitting methods and mergability criteria,1,1
8Y85NX6C,Symbolic-neural rule based reasoning and explanation,1,1
8MT47N5Y,A machine learning approach for optimizing heuristic decision-making in Web Ontology Language reasoners,1,1
2N43RWSY,Research and Design on Cognitive Computing Framework for Predicting Judicial Decisions,1,1
94Q97J7C,The Computational Origin of Representation,1,1
M36TNPXK,Some thoughts on knowledge-enhanced machine learning,1,1
6Z9JP7A2,Towards Bayesian Deep Learning: A Framework and Some Existing Methods,1,1
W9ZTSUJL,On Approximation of Concept Similarity Measure in Description Logic ELH with Pre-Trained Word Embedding,1,1
5EEQ5ZAD,A bottom-up complement to the logic-based top-down approach to the story arrangement test,1,1
B47SSE6P,Fuzzy commonsense reasoning for multimodal sentiment analysis,1,1
G7A2MTFU,Why Machines Don’t (yet) Reason Like People,1,1
JQNQNRGA,A survey on temporal reasoning for temporal information extraction from text,1,1
UHPX4UN3,Explainable classification by learning human-readable sentences in feature subsets,1,1
Z9LQSC4L,Symbolic knowledge extraction from trained neural networks governed by Łukasiewicz logics,1,1
P53Y4CWV,Incorporating symbolic domain knowledge into graph neural networks,1,1
8INQPZF7,Deep learning-based reasoning with multi-ontology for IoT applications,1,1
M3TG8SKF,OntoILPER: an ontology- and inductive logic programming-based system to extract entities and relations from text,1,1
MLIW5XJN,Distributional logic programming for Bayesian knowledge representation,1,1
I9IHFH6N,A connectionist account of the relational shift and context sensitivity in the development of generalisation,1,1
EGI547RA,Question Answering Systems with Deep Learning-Based Symbolic Processing,1,1
N74Z86UI,From machine learning to machine reasoning: An essay,1,1
AZXPAGR7,Learning strategies for task delegation in norm-governed environments,1,1
E55R8LH9,An intelligent decision support system for production planning based on machine learning,1,1
