Key,Item Type,Publication Year,Author,Title,"Include (0,1)",Notes/Criteria,Input data,Abstract Note,Publication Title,DOI,Url,Date,Date Added,Date Modified,Scopus relevance order
YGHML3ZJ,journalArticle,2013,"Dagan, I.; Roth, D.; Sammons, M.; Zanzotto, F.",Recognizing Textual Entailment: Models and Applications,1,book,,"Download Free Sample In the last few years, a number of NLP researchers have developed and participated in the task of Recognizing Textual Entailment (RTE). This task encapsulates Natural Language Understanding capabilities within a very simple interface: Recognizing when the meaning of a text snippet is contained in the meaning of a second piece of text. This simple abstraction of an exceedingly complex problem has broad appeal partly because it can be conceived also as a component in other NLP applications, from Machine Translation to Semantic Search to Information Extraction. It also avoids commitment to any specific meaning representation and reasoning framework, broadening its appeal within the research community. This level of abstraction also facilitates evaluation, a crucial component of any technological advancement program. This book explains the RTE task formulation adopted by the NLP research community, and gives a clear overview of research in this area. It draws out commonalities in this research, detailing the intuitions behind dominant approaches and their theoretical underpinnings. This book has been written with a wide audience in mind, but is intended to inform all readers about the state of the art in this fascinating field, to give a clear understanding of the principles underlying RTE research to date, and to highlight the short- A nd long-term research goals that will advance this technology. © Morgan and Claypool Publishers. All rights reserved.",Synthesis Lectures on Human Language Technologies,10.2200/S00509ED1V01Y201305HLT023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044727708&doi=10.2200%2fS00509ED1V01Y201305HLT023&partnerID=40&md5=a84d226bcb23ac1ce56a2a02c9430a3f,2013,7/20/21 15:50,7/20/21 15:50,1459
5JDIL466,journalArticle,2018,"Chesani, F.; Galassi, A.; Lippi, M.; Mello, P.",Can deep networks learn to play by the rules? A case study on nine Men's Morris,1,case against combining symbolic with subsymbolic,,"Deep networks have been successfully applied to a wide range of tasks in artificial intelligence, and game playing is certainly not an exception. In this paper, we present an experimental study to assess whether purely subsymbolic systems, such as deep networks, are capable of learning to play by the rules, without any a priori knowledge neither of the game, nor of its rules, but only by observing the matches played by another player. Similar problems arise in many other application domains, where the goal is to learn rules, policies, behaviors, or decisions, simply by the observation of the dynamics of a system.We present a case study conducted with residual networks on the popular board game of Nine Men's Morris, showing that this kind of subsymbolic architecture is capable of correctly discriminating legal from illegal decisions, just from the observation of past matches of a single player. 2017 IEEE. © 2018 Institute of Electrical and Electronics Engineers Inc.. All rights reserved.",IEEE Transactions on Games,10.1109/TG.2018.2804039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077818519&doi=10.1109%2fTG.2018.2804039&partnerID=40&md5=ece5775b2e637ab476fe1d5cab8d448f,2018,7/20/21 15:48,7/20/21 15:48,38
WLW49ADY,journalArticle,2020,"Hitzler, P.; Bianchi, F.; Ebrahimi, M.; Sarker, M.K.",Neural-symbolic integration and the Semantic Web,1,survey,,"Symbolic Systems in Artificial Intelligence which are based on formal logic and deductive reasoning are fundamentally different from Artificial Intelligence systems based on artificial neural networks, such as deep learning approaches. The difference is not only in their inner workings and general approach, but also with respect to capabilities. Neural-symbolic Integration, as a field of study, aims to bridge between the two paradigms. In this paper, we will discuss neural-symbolic integration in its relation to the Semantic Web field, with a focus on promises and possible benefits for both, and report on some current research on the topic. © 2020-IOS Press and the authors. All rights reserved.",Semantic Web,10.3233/SW-190368,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078979352&doi=10.3233%2fSW-190368&partnerID=40&md5=eb9a74a48c2b1364b7000bd5b95c322a,2020,7/20/21 15:48,7/20/21 15:48,1
YXUZIQIU,journalArticle,2021,"Ebrahimi, M.; Eberhart, A.; Bianchi, F.; Hitzler, P.",Towards bridging the neuro-symbolic gap: deep deductive reasoners,1,survey,,"Symbolic knowledge representation and reasoning and deep learning are fundamentally different approaches to artificial intelligence with complementary capabilities. The former are transparent and data-efficient, but they are sensitive to noise and cannot be applied to non-symbolic domains where the data is ambiguous. The latter can learn complex tasks from examples, are robust to noise, but are black boxes; require large amounts of –not necessarily easily obtained– data, and are slow to learn and prone to adversarial examples. Either paradigm excels at certain types of problems where the other paradigm performs poorly. In order to develop stronger AI systems, integrated neuro-symbolic systems that combine artificial neural networks and symbolic reasoning are being sought. In this context, one of the fundamental open problems is how to perform logic-based deductive reasoning over knowledge bases by means of trainable artificial neural networks. This paper provides a brief summary of the authors’ recent efforts to bridge the neural and symbolic divide in the context of deep deductive reasoners. Throughout the paper we will discuss strengths and limitations of models in term of accuracy, scalability, transferability, generalizabiliy, speed, and interpretability, and finally, will talk about possible modifications to enhance desirable capabilities. More specifically, in terms of architectures, we are looking at Memory-augmented networks, Logic Tensor Networks, and compositions of LSTM models to explore their capabilities and limitations in conducting deductive reasoning. We are applying these models on Resource Description Framework (RDF), first-order logic, and the description logic EL+ respectively. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC part of Springer Nature.",Applied Intelligence,10.1007/s10489-020-02165-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100570972&doi=10.1007%2fs10489-020-02165-6&partnerID=40&md5=0003bc9ef2baca0720a980936c047d5a,2021,7/20/21 15:48,7/20/21 15:48,2
LIJBLYR5,journalArticle,2019,"Gromann, D.; Espinosa Anke, L.; Declerck, T.",Special issue on Semantic Deep Learning,1,survey,,"Numerous success use cases involving deep learning have recently started to be propagated to the Semantic Web. Approaches range from utilizing structured knowledge in the training process of neural networks to enriching such architectures with ontological reasoning mechanisms. Bridging the neural-symbolic gap by joining deep learning and Semantic Web not only holds the potential of improving performance but also of opening up new avenues of research. This editorial introduces the Semantic Web Journal special issue on Semantic Deep Learning, which brings together Semantic Web and deep learning research. After a general introduction to the topic and a brief overview of recent contributions, we continue to introduce the submissions published in this special issue. © 2019 - IOS Press and the authors. All rights reserved.",Semantic Web,10.3233/SW-180364,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072388130&doi=10.3233%2fSW-180364&partnerID=40&md5=d257ab8eba9e946dcca7bf59caecf60e,2019,7/20/21 15:48,7/20/21 15:48,7
KIRM4EBZ,journalArticle,2021,"Vonrueden, L.; Mayer, S.; Beckh, K.; Georgiev, B.; Giesselbach, S.; Heese, R.; Kirsch, B.; Walczak, M.; Pfrommer, J.; Pick, A.; Ramamurthy, R.; Garcke, J.; Bauckhage, C.; Schuecker, J.",Informed Machine Learning - A Taxonomy and Survey of Integrating Prior Knowledge into Learning Systems,1,survey,,"Despite its great success, machine learning can have its limits when dealing with insufficient training data. A potential solution is the additional integration of prior knowledge into the training process which leads to the notion of informed machine learning. In this paper, we present a structured overview of various approaches in this field. We provide a definition and propose a concept for informed machine learning which illustrates its building blocks and distinguishes it from conventional machine learning. We introduce a taxonomy that serves as a classification framework for informed machine learning approaches. It considers the source of knowledge, its representation, and its integration into the machine learning pipeline. Based on this taxonomy, we survey related research and describe how different knowledge representations such as algebraic equations, logic rules, or simulation results can be used in learning systems. This evaluation of numerous papers on the basis of our taxonomy uncovers key methods in the field of informed machine learning. CCBY",IEEE Transactions on Knowledge and Data Engineering,10.1109/TKDE.2021.3079836,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105863468&doi=10.1109%2fTKDE.2021.3079836&partnerID=40&md5=3945f72c7aa111fb2c91e6d4636de977,2021,7/20/21 15:48,7/20/21 15:48,11
2TUT8Z5S,journalArticle,2021,"van Bekkum, M.; de Boer, M.; van Harmelen, F.; Meyer-Vitali, A.; Teije, A.","Modular design patterns for hybrid learning and reasoning systems: a taxonomy, patterns and use cases",1,survey,,"The unification of statistical (data-driven) and symbolic (knowledge-driven) methods is widely recognized as one of the key challenges of modern AI. Recent years have seen a large number of publications on such hybrid neuro-symbolic AI systems. That rapidly growing literature is highly diverse, mostly empirical, and is lacking a unifying view of the large variety of these hybrid systems. In this paper, we analyze a large body of recent literature and we propose a set of modular design patterns for such hybrid, neuro-symbolic systems. We are able to describe the architecture of a very large number of hybrid systems by composing only a small set of elementary patterns as building blocks. The main contributions of this paper are: 1) a taxonomically organised vocabulary to describe both processes and data structures used in hybrid systems; 2) a set of 15+ design patterns for hybrid AI systems organized in a set of elementary patterns and a set of compositional patterns; 3) an application of these design patterns in two realistic use-cases for hybrid AI systems. Our patterns reveal similarities between systems that were not recognized until now. Finally, our design patterns extend and refine Kautz’s earlier attempt at categorizing neuro-symbolic architectures. © 2021, The Author(s).",Applied Intelligence,10.1007/s10489-021-02394-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108116690&doi=10.1007%2fs10489-021-02394-3&partnerID=40&md5=d23e1c358cf7b9ded5d7fb5ce7d6ad33,2021,7/20/21 15:48,7/20/21 15:48,14
9VD974LX,journalArticle,2020,"Spelda, P.","Machine learning, inductive reasoning, and reliability of generalisations",1,survey,,"The present paper shows how statistical learning theory and machine learning models can be used to enhance understanding of AI-related epistemological issues regarding inductive reasoning and reliability of generalisations. Towards this aim, the paper proceeds as follows. First, it expounds Price’s dual image of representation in terms of the notions of e-representations and i-representations that constitute subject naturalism. For Price, this is not a strictly anti-representationalist position but rather a dualist one (e- and i-representations). Second, the paper links this debate with machine learning in terms of statistical learning theory becoming more viable epistemological tool when it abandons the perspective of object naturalism. The paper then argues that machine learning grounds a form of knowing that can be understood in terms of e- and i-representation learning. Third, this synthesis shows a way of analysing inductive reasoning in terms of reliability of generalisations stemming from a structure of e- and i-representations. In the age of Artificial Intelligence, connecting Price’s dual view of representation with Deep Learning provides an epistemological way forward and even perhaps an approach to how knowing is possible. © 2018, Springer-Verlag London Ltd., part of Springer Nature.",AI and Society,10.1007/s00146-018-0860-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052563918&doi=10.1007%2fs00146-018-0860-6&partnerID=40&md5=d325aae4df228fd7019070f5e8e682bf,2020,7/20/21 15:48,7/20/21 15:48,24
WQ7KRNXL,journalArticle,2011,"Polkowski, L.","Reasoning with Rough Inclusions: Granular Computing, Granular Logics, Perception Calculus, Cognitive and MAS Reasoning",1,survey,UNK,"Rough mereology allows for a plethora of applications in various reasoning schemes due to universality of its primitive predicate of a part to a degree. We have already stressed that by its nature, rough mereology is especially suited to reasoning with collective concepts like geometric figures or solids, or, concepts learned by machine learning methods, i.e., with collective concepts. Those applications are presented in Ch. 8 and Ch. 9. In this chapter, we begin this discussion with a formal approach to the problem of granulation of knowledge and then we examine rough mereological logics: from our results in Ch. 6 it follows that representing implication with a rough inclusion μ leads to logics which extend and generalize fuzzy logics. As an application, we propose a formal rendering of the idea of perception calculus, due to Zadeh [67]. We apply rough mereological schemes to reasoning by multi-agent (MAS) systems, and finally we present a rough mereological variant of cognitive reasoning in neural-like systems.",Intelligent Systems Reference Library,10.1007/978-3-642-22279-5_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885585030&doi=10.1007%2f978-3-642-22279-5_7&partnerID=40&md5=221e2f59d06c09311f92b2904d9fe5d9,2011,7/20/21 15:48,7/20/21 15:48,52
A8RPZG9Y,journalArticle,2019,"Tangiuchi, T.; Mochihashi, D.; Nagai, T.; Uchida, S.; Inoue, N.; Kobayashi, I.; Nakamura, T.; Hagiwara, Y.; Iwahashi, N.; Inamura, T.",Survey on frontiers of language and robotics,1,survey,text,"The understanding and acquisition of a language in a real-world environment is an important task for future robotics services. Natural language processing and cognitive robotics have both been focusing on the problem for decades using machine learning. However, many problems remain unsolved despite significant progress in machine learning (such as deep learning and probabilistic generative models) during the past decade. The remaining problems have not been systematically surveyed and organized, as most of them are highly interdisciplinary challenges for language and robotics. This study conducts a survey on the frontier of the intersection of the research fields of language and robotics, ranging from logic probabilistic programming to designing a competition to evaluate language understanding systems. We focus on cognitive developmental robots that can learn a language from interaction with their environment and unsupervised learning methods that enable robots to learn a language without hand-crafted training data. © 2019, © 2019 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Advanced Robotics,10.1080/01691864.2019.1632223,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068064287&doi=10.1080%2f01691864.2019.1632223&partnerID=40&md5=fb9809699eafb5cf9f5835a69d53fd47,2019,7/20/21 15:48,7/20/21 15:48,60
