Key,Item Type,Publication Year,Author,Title,Abstract Note,Publication Title,DOI,Url,Date,Date Added,Date Modified
WLW49ADY,journalArticle,2020,"Hitzler, P.; Bianchi, F.; Ebrahimi, M.; Sarker, M.K.",Neural-symbolic integration and the Semantic Web,"Symbolic Systems in Artificial Intelligence which are based on formal logic and deductive reasoning are fundamentally different from Artificial Intelligence systems based on artificial neural networks, such as deep learning approaches. The difference is not only in their inner workings and general approach, but also with respect to capabilities. Neural-symbolic Integration, as a field of study, aims to bridge between the two paradigms. In this paper, we will discuss neural-symbolic integration in its relation to the Semantic Web field, with a focus on promises and possible benefits for both, and report on some current research on the topic. © 2020-IOS Press and the authors. All rights reserved.",Semantic Web,10.3233/SW-190368,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078979352&doi=10.3233%2fSW-190368&partnerID=40&md5=eb9a74a48c2b1364b7000bd5b95c322a,2020,2021-07-20 15:48:23,2021-07-20 15:48:23
YXUZIQIU,journalArticle,2021,"Ebrahimi, M.; Eberhart, A.; Bianchi, F.; Hitzler, P.",Towards bridging the neuro-symbolic gap: deep deductive reasoners,"Symbolic knowledge representation and reasoning and deep learning are fundamentally different approaches to artificial intelligence with complementary capabilities. The former are transparent and data-efficient, but they are sensitive to noise and cannot be applied to non-symbolic domains where the data is ambiguous. The latter can learn complex tasks from examples, are robust to noise, but are black boxes; require large amounts of –not necessarily easily obtained– data, and are slow to learn and prone to adversarial examples. Either paradigm excels at certain types of problems where the other paradigm performs poorly. In order to develop stronger AI systems, integrated neuro-symbolic systems that combine artificial neural networks and symbolic reasoning are being sought. In this context, one of the fundamental open problems is how to perform logic-based deductive reasoning over knowledge bases by means of trainable artificial neural networks. This paper provides a brief summary of the authors’ recent efforts to bridge the neural and symbolic divide in the context of deep deductive reasoners. Throughout the paper we will discuss strengths and limitations of models in term of accuracy, scalability, transferability, generalizabiliy, speed, and interpretability, and finally, will talk about possible modifications to enhance desirable capabilities. More specifically, in terms of architectures, we are looking at Memory-augmented networks, Logic Tensor Networks, and compositions of LSTM models to explore their capabilities and limitations in conducting deductive reasoning. We are applying these models on Resource Description Framework (RDF), first-order logic, and the description logic EL+ respectively. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC part of Springer Nature.",Applied Intelligence,10.1007/s10489-020-02165-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100570972&doi=10.1007%2fs10489-020-02165-6&partnerID=40&md5=0003bc9ef2baca0720a980936c047d5a,2021,2021-07-20 15:48:23,2021-07-20 15:48:23
EX5ZGV3N,journalArticle,2021,"Manhaeve, R.; Dumančić, S.; Kimmig, A.; Demeester, T.; De Raedt, L.",Neural probabilistic logic programming in DeepProbLog,"We introduce DeepProbLog, a neural probabilistic logic programming language that incorporates deep learning by means of neural predicates. We show how existing inference and learning techniques of the underlying probabilistic logic programming language ProbLog can be adapted for the new language. We theoretically and experimentally demonstrate that DeepProbLog supports (i) both symbolic and subsymbolic representations and inference, (ii) program induction, (iii) probabilistic (logic) programming, and (iv) (deep) learning from examples. To the best of our knowledge, this work is the first to propose a framework where general-purpose neural networks and expressive probabilistic-logical modeling and reasoning are integrated in a way that exploits the full expressiveness and strengths of both worlds and can be trained end-to-end based on examples. © 2021 Elsevier B.V.",Artificial Intelligence,10.1016/j.artint.2021.103504,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104453726&doi=10.1016%2fj.artint.2021.103504&partnerID=40&md5=9b46926a1251f8176c535e6027367e8f,2021,2021-07-20 15:48:23,2021-07-20 15:48:23
YCQKU49S,journalArticle,2018,"Harder, F.; Besold, T.R.",Learning Łukasiewicz logic,"The integration between connectionist learning and logic-based reasoning is a longstanding foundational question in artificial intelligence, cognitive systems, and computer science in general. Research into neural-symbolic integration aims to tackle this challenge, developing approaches bridging the gap between sub-symbolic and symbolic representation and computation. In this line of work the core method has been suggested as a way of translating logic programs into a multilayer perceptron computing least models of the programs. In particular, a variant of the core method for three valued Łukasiewicz logic has proven to be applicable to cognitive modelling among others in the context of Byrne's suppression task. Building on the underlying formal results and the corresponding computational framework, the present article provides a modified core method suitable for the supervised learning of Łukasiewicz logic (and of a closely-related variant thereof), implements and executes the corresponding supervised learning with the backpropagation algorithm and, finally, constructs a rule extraction method in order to close the neural-symbolic cycle. The resulting system is then evaluated in several empirical test cases, and recommendations for future developments are derived. © 2017 Elsevier B.V.",Cognitive Systems Research,10.1016/j.cogsys.2017.07.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044158917&doi=10.1016%2fj.cogsys.2017.07.004&partnerID=40&md5=7eddcddf7db6d6df3f12c65d94e10e9f,2018,2021-07-20 15:48:23,2021-07-20 15:48:23
NPTPCDHQ,journalArticle,2018,"Tran, S.N.; D'Avila Garcez, A.S.",Deep Logic Networks: Inserting and Extracting Knowledge from Deep Belief Networks,"Developments in deep learning have seen the use of layerwise unsupervised learning combined with supervised learning for fine-tuning. With this layerwise approach, a deep network can be seen as a more modular system that lends itself well to learning representations. In this paper, we investigate whether such modularity can be useful to the insertion of background knowledge into deep networks, whether it can improve learning performance when it is available, and to the extraction of knowledge from trained deep networks, and whether it can offer a better understanding of the representations learned by such networks. To this end, we use a simple symbolic language - a set of logical rules that we call confidence rules - and show that it is suitable for the representation of quantitative reasoning in deep networks. We show by knowledge extraction that confidence rules can offer a low-cost representation for layerwise networks (or restricted Boltzmann machines). We also show that layerwise extraction can produce an improvement in the accuracy of deep belief networks. Furthermore, the proposed symbolic characterization of deep networks provides a novel method for the insertion of prior knowledge and training of deep networks. With the use of this method, a deep neural-symbolic system is proposed and evaluated, with the experimental results indicating that modularity through the use of confidence rules and knowledge insertion can be beneficial to network performance. © 2012 IEEE.",IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2016.2603784,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995403891&doi=10.1109%2fTNNLS.2016.2603784&partnerID=40&md5=d7e818ffd09540742abbfab902658516,2018,2021-07-20 15:48:24,2021-07-20 15:48:24
X9XE9Y2I,journalArticle,2018,"Barbosa, R.; Cardoso, D.O.; Carvalho, D.; França, F.M.G.",Weightless neuro-symbolic GPS trajectory classification,"This paper presents a framework for dealing with the problem of GPS trajectory classification in the context of the Rio de Janeiro's public transit system (with hundreds or more classes). Such framework combines the versatile WiSARD classifier with a set of rules defined a priori, resulting in a neuro-symbolic learning system with very interesting characteristics and cutting-edge performance. We also verified the influence of different binarization methods in order to adapt raw data to WiSARD, which feeds from binary data only. These ideas were tested against a large data set of trajectories of buses from the city of Rio de Janeiro. The results confirm the practical applicability of those, since the accomplished performance was as good as that of other state-of-the-art rival methods in most test scenarios. © 2018 Elsevier B.V.",Neurocomputing,10.1016/j.neucom.2017.11.075,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042642694&doi=10.1016%2fj.neucom.2017.11.075&partnerID=40&md5=06ce33319b0ac725c565ef086be96ca5,2018,2021-07-20 15:48:24,2021-07-20 15:48:24
LIJBLYR5,journalArticle,2019,"Gromann, D.; Espinosa Anke, L.; Declerck, T.",Special issue on Semantic Deep Learning,"Numerous success use cases involving deep learning have recently started to be propagated to the Semantic Web. Approaches range from utilizing structured knowledge in the training process of neural networks to enriching such architectures with ontological reasoning mechanisms. Bridging the neural-symbolic gap by joining deep learning and Semantic Web not only holds the potential of improving performance but also of opening up new avenues of research. This editorial introduces the Semantic Web Journal special issue on Semantic Deep Learning, which brings together Semantic Web and deep learning research. After a general introduction to the topic and a brief overview of recent contributions, we continue to introduce the submissions published in this special issue. © 2019 - IOS Press and the authors. All rights reserved.",Semantic Web,10.3233/SW-180364,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072388130&doi=10.3233%2fSW-180364&partnerID=40&md5=d257ab8eba9e946dcca7bf59caecf60e,2019,2021-07-20 15:48:24,2021-07-20 15:48:24
5FLUBV5A,journalArticle,2021,"Roychowdhury, S.; Diligenti, M.; Gori, M.",Regularizing deep networks with prior knowledge: A constraint-based approach[Formula presented],"Deep Learning architectures can develop feature representations and classification models in an integrated way during training. This joint learning process requires large networks with many parameters, and it is successful when a large amount of training data is available. Instead of making the learner develop its entire understanding of the world from scratch from the input examples, the injection of prior knowledge into the learner seems to be a principled way to reduce the amount of require training data, as the learner does not need to induce the rules from the data. This paper presents a general framework to integrate arbitrary prior knowledge into learning. The domain knowledge is provided as a collection of first-order logic (FOL) clauses, where each task to be learned corresponds to a predicate in the knowledge base. The logic statements are translated into a set of differentiable constraints, which can be integrated into the learning process to distill the knowledge into the network, or used during inference to enforce the consistency of the predictions with the prior knowledge. The experimental results have been carried out on multiple image datasets and show that the integration of the prior knowledge boosts the accuracy of several state-of-the-art deep architectures on image classification tasks. © 2021 The Authors",Knowledge-Based Systems,10.1016/j.knosys.2021.106989,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104105457&doi=10.1016%2fj.knosys.2021.106989&partnerID=40&md5=80144cf33992912376acc23e9716d914,2021,2021-07-20 15:48:24,2021-07-20 15:48:24
QTYPBWY7,journalArticle,2014,"França, M.V.M.; Zaverucha, G.; D'Avila Garcez, A.S.",Fast relational learning using bottom clause propositionalization with artificial neural networks,"Relational learning can be described as the task of learning first-order logic rules from examples. It has enabled a number of new machine learning applications, e.g. graph mining and link analysis. Inductive Logic Programming (ILP) performs relational learning either directly by manipulating first-order rules or through propositionalization, which translates the relational task into an attribute-value learning task by representing subsets of relations as features. In this paper, we introduce a fast method and system for relational learning based on a novel propositionalization called Bottom Clause Propositionalization (BCP). Bottom clauses are boundaries in the hypothesis search space used by ILP systems Progol and Aleph. Bottom clauses carry semantic meaning and can be mapped directly onto numerical vectors, simplifying the feature extraction process. We have integrated BCP with a well-known neural-symbolic system, C-IL2P, to perform learning from numerical vectors. C-IL2P uses background knowledge in the form of propositional logic programs to build a neural network. The integrated system, which we call CILP++, handles first-order logic knowledge and is available for download from Sourceforge. We have evaluated CILP++ on seven ILP datasets, comparing results with Aleph and a well-known propositionalization method, RSD. The results show that CILP++ can achieve accuracy comparable to Aleph, while being generally faster, BCP achieved statistically significant improvement in accuracy in comparison with RSD when running with a neural network, but BCP and RSD perform similarly when running with C4.5. We have also extended CILP++ to include a statistical feature selection method, mRMR, with preliminary results indicating that a reduction of more than 90 % of features can be achieved with a small loss of accuracy. © 2013 The Author(s).",Machine Learning,10.1007/s10994-013-5392-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891373440&doi=10.1007%2fs10994-013-5392-1&partnerID=40&md5=8731ad71554ee4a0916f866be773a0d9,2014,2021-07-20 15:48:24,2021-07-20 15:48:24
PK2SIRSE,journalArticle,2021,"Confalonieri, R.; Coba, L.; Wagner, B.; Besold, T.R.",A historical perspective of explainable Artificial Intelligence,"Explainability in Artificial Intelligence (AI) has been revived as a topic of active research by the need of conveying safety and trust to users in the “how” and “why” of automated decision-making in different applications such as autonomous driving, medical diagnosis, or banking and finance. While explainability in AI has recently received significant attention, the origins of this line of work go back several decades to when AI systems were mainly developed as (knowledge-based) expert systems. Since then, the definition, understanding, and implementation of explainability have been picked up in several lines of research work, namely, expert systems, machine learning, recommender systems, and in approaches to neural-symbolic learning and reasoning, mostly happening during different periods of AI history. In this article, we present a historical perspective of Explainable Artificial Intelligence. We discuss how explainability was mainly conceived in the past, how it is understood in the present and, how it might be understood in the future. We conclude the article by proposing criteria for explanations that we believe will play a crucial role in the development of human-understandable explainable systems. This article is categorized under: Fundamental Concepts of Data and Knowledge > Explainable AI Technologies > Artificial Intelligence. © 2020 The Authors. WIREs Data Mining and Knowledge Discovery published by Wiley Periodicals LLC.",Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,10.1002/widm.1391,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092933617&doi=10.1002%2fwidm.1391&partnerID=40&md5=a5014127898cb4a0899155d6c248c7ef,2021,2021-07-20 15:48:24,2021-07-20 15:48:24
