 Aamodt A.	['Levinger P.', 'Lai D.T.H.', 'Begg R.', 'Webster K.', 'Feller J.', 'Gilleard W.', 'Sharan R.V.', 'Moir T.J.', 'Lin Y.', 'Lv F.', 'Zhu S.', 'Yang M.', 'Cour T.', 'Yu K.', 'Cao L.', 'Huang T.', 'Zhao B.', 'Li F.', 'Xing E.P.', 'Akata Z.', 'Perronnin F.', 'Harchaoui Z.', 'Schmid C.', 'Calderano P.H.S.', 'Ribeiro M.G.C.', 'Amaral R.P.F.', 'Vellasco M.M.B.R.', 'Tanscheit R.', 'Campos R.A.', 'Amaral R.P.F.', 'Soares N.', 'Knerr S.', 'Personnaz L.', 'Dreyfus G.', 'Anand R.', 'Mehrotra K.', 'Mohan C.K.', 'Ranka S.', 'Allwein E.L.', 'Schapire R.E.', 'Singer Y.', 'Elkano M.', 'Galar M.', 'Sanz J.A.', 'Barrenechea E.', 'Herrera F.', 'Bustince H.', 'Barrenechea E.', 'Bustince H.', 'Herrera F.', 'Aguiar E.P.', 'Nogueira F.M.A.', 'Amaral R.P.']
 Abdallah S.	['Shi Y.', 'Harrison C.', 'Eckman B.', 'Hamilton R.', 'Hartswick P.', 'Kalagnanam J.', 'Paraszczak J.', 'Williams P.', 'Hovy E.', 'Liu B.', 'Liu B.']
 Abdolali A.	['Fabri D.F.', 'Rossignoli S.C.', 'Ferreira J.G.', 'Vellasco M.M.B.R.', 'Ribeiro M.V.', 'Amaral R.P.F.', 'Ribeiro M.V.', 'Aguiar E.P.', 'Lichman M.', 'Bishop C.M.', 'Pearlmutter B.A.', 'Kohavi R.', 'Stehman S.', 'Sokolova M.', 'Japkowicz N.', 'Szpakowicz S.', 'Moore D.S.', 'Kirkland S.', 'Steihaug T.', 'Badger J.R.', 'Shapiro L.R.', 'Bowdle B.', 'Gentner D.', 'Bulloch M.J.', 'Opfer J.E.', 'Deng W.', 'Sloutsky V.M.', 'Doumas L.A.A.', 'Morrison R.G.', 'Richland L.E.', 'Doumas L.']
 Abraham A.	['Lendasse A.', 'Poria S.', 'Gelbukh A.', 'Cambria E.', 'Yang P.', 'Hussain A.', 'Durrani T.', 'Singh V.', 'Piryani R.', 'Uddin A.', 'Waila P.', 'Mukherjee S.', 'Bhattacharyya P.', 'Leung C.W.', 'Poria S.', 'Chaturvedi I.', 'Cambria E.', 'Hussain A.', 'Cambria E.', 'Poria S.', 'Hazarika D.', 'Kwok K.', 'Dashtipour K.', 'Poria S.', 'Hussain A.', 'Cambria E.', 'Hawalah A.Y.', 'Gelbukh A.', 'Zhou Q.', 'Dashtipour K.', 'Hussain A.', 'Gelbukh A.', 'Hussien I.O.', 'Dashtipour K.', 'Hussain A.', 'Nodoushan M.', 'Ghayoomi M.', 'Dashtipour K.', 'Gogate M.', 'Adeel A.', 'Algarafi A.', 'Howard N.', 'Hussain A.', 'Dashtipour K.', 'Gogate M.', 'Adeel A.', 'Hussain A.', 'Alqarafi A.', 'Durrani T.', 'Bandhakavi A.', 'Wiratunga N.', 'Massie S.', 'Deepak P.', 'Dragoni M.', 'Poria S.', 'Cambria E.', 'Cambria E.', 'Poria S.', 'Hazarika D.', 'Kwok K.', 'Oneto L.', 'Bisio F.', 'Cambria E.']
 Afsharchi M.	['Kralj J.', 'Konc J.', 'Kunej T.', 'Konc J.', 'Kralj J.', 'Agarwal A.', 'Biadsy F.', 'Keown K.R.', 'Stroudsburg PA', 'Banerjee D.', 'Islam K.', 'Xue K.', 'Mei G.', 'Xiao L.', 'Zhang G.', 'Xu R.', 'Li J.', 'Benba A.', 'Jilbab A.', 'Sandabad S.', 'Hammouch A.', 'Bhatt A.', 'Patel A.', 'Chheda H.', 'Gawande K.', 'Sakar B.', 'Serbes G.', 'Sakar C.', 'Jepsen M.', 'Busk J.', 'Frost M.', 'Vinberg M.', 'Christensen E.M.', 'Winther O.', 'Bardram J.E.', 'Kessing L.V.', 'Gupta V.', 'Lehal G.S.', 'Haddi E.', 'Liu X.']
 Ahani A.	['Guez A.', 'Hubert T.', 'Hassabis D.', 'Silvestri M.', 'Lombardi M.', 'Milano M.', 'Suttner C.B.', 'Ertel W.', 'Tiddi I.', 'Aquin M.', 'Motta E.', 'Harmelen F.', 'Teije A.', 'Rueden L.', 'Mayer S.', 'Garcke J.', 'Bauckhage C.', 'Schuecker J.', 'Wang Q.', 'Mao Z.', 'Wang B.', 'Guo L.', 'Weld D.S.', 'Bansal G.', 'Witschel H.F.', 'Pande C.', 'Martin A.', 'Laurenzi E.', 'Hinkelmann K.', 'Wong W.', 'Liu W.', 'Bennamoun M.', 'Xu J.', 'Zhang Z.', 'Friedman T.', 'Liang Y.', 'Broeck G.V.', 'Zhang W.', 'Paudel B.', 'Wang L.', 'Chen J.', 'Zhu H.', 'Zhang W.', 'Bernstein A.', 'Chen H.']
 Alsanad A.	['Yu Q.', 'Bishop C.', 'Welling M.', 'Teh Y.W.', 'Lakshminarayanan B.', 'Pritzel A.', 'Blundell C.', 'Wu H.', 'Gu X.', 'Gal Y.', 'Ghahramani Z.', 'Fortunato M.', 'Blundell C.', 'Vinyals O.', 'Kingma D.P.', 'Welling M.', 'Yang Z.', 'He X.', 'Gao J.', 'Deng L.', 'Smola A.', 'Kurmi V.K.', 'Kumar S.', 'Namboodiri V.P.', 'Gal Y.', 'Dorman K.', 'Selvaraju R.R.', 'Cogswell M.', 'Das A.', 'Vedantam R.', 'Parikh D.', 'Batra D.', 'Seo P.H.', 'Lehrmann A.', 'Han B.', 'Sigal L.', 'Murphy M.F.', 'Roberts D.J.', 'Yazer M.H.', 'Garraud O.', 'Sut C.', 'Haddad A.', 'Tariket S.', 'Aloui C.', 'Laradi S.', 'Cognasse H.', 'Andreu G.', 'Carlier M.', 'Fauveau L.', 'Ounnoughene N.', 'Sandid I.', 'Renaudier P.', 'Wood E.M.', 'Ang A.L.', 'Bisht A.', 'Maggs P.H.', 'Bokhorst A.G.', 'Flesland O.', 'Land K.', 'Whitaker B.I.', 'Ramoa A.', 'Escoval M.A.', 'Riverola F.', 'Roubinian N.', 'Kleinman S.', 'Ncezid DHQP', 'Baumeister J.', 'Striffler A.', 'Plebani M.', 'Aita A.', 'Padoan A.', 'Sciacovelli L.', 'Baron J.M.', 'Kurant D.E.', 'Dighe A.S.', 'Shortliffe E.H.', 'Cimino J.J.', 'Hoang K.H.', 'Ho T.B.', 'Borah A.']
 Ananiadou S.	['Chen H.J.', 'Bakker R.R.', 'Bollacker K.', 'Bordes A.', 'Bordes A.', 'Carlson A.', 'Dunteman G.H.', 'Cun Y.', 'Bengio Y.', 'Hinton G.', 'Schmidhuber J.', 'Goodfellow I.', 'Bengio Y.', 'Courville A.', 'Lin Y.', 'Lao N.', 'Mitchell T.', 'Cohen W.W.', 'Feng J.', 'Huang M.', 'Yang Y.', 'Raedt L.D.', 'Driessens K.', 'Nickel M.', 'Tresp V.', 'Santoro A.', 'Bordes A.', 'Glorot X.', 'Weston J.', 'Gardner M.', 'Socher R.', 'Chen D.', 'Manning C.D.', 'Ng A.', 'Bordes A.', 'He H.', 'Balakrishnan A.', 'Eric M.', 'Yang F.', 'Yang Z.', 'Cohen W.W.', 'Schoenmackers S.', 'Hinton G.', 'Silver D.', 'Silver D.', 'Zhang C.', 'Vinyals O.', 'Munos R.', 'Glorot X.', 'Bengio Y.', 'Mnih V.', 'Sutton R.S.', 'Barto A.G.', 'Driessens K.', 'Ramon J.', 'Otterlo M.', 'Muggleton S.']
 Andersson K.	['Zhao J.', 'Cun Y.', 'Bengio Y.', 'Hinton G.', 'Raedt L.', 'Driessens K.', 'Yang F.', 'Yang Z.', 'Cohen W.W.', 'Wang Q.', 'Ji Y.', 'Hao Y.', 'Cao J.', 'Lan Z.', 'Sharma P.', 'Balazevic I.', 'Allen C.', 'Hospedales T.', 'Bansal T.', 'Ravi S.', 'Callum A.', 'Bordes A.', 'Usunier N.', 'Weston J.', 'Yakhnenko O.', 'Carlson A.', 'Betteridge J.', 'Kisiel B.', 'Settles B.', 'Hruschka E.R.', 'Mitchell T.M.', 'Chen W.', 'Xiong W.', 'Yan X.', 'Wang W.Y.', 'Chung J.', 'Cho K.', 'Das R.', 'Dhuliawala S.', 'Zaheer M.', 'Vilnis L.']
 Anupriy	['Yin J.', 'Zhu X.', 'Zhang C.', 'Zhou D.', 'Huang J.', 'Zhou J.', 'Cui G.', 'Zhang Z.', 'Yang C.', 'Liu Z.', 'Wang L.', 'Li C.', 'Sun M.', 'Ziegler K.', 'Caelen O.', 'Garchery M.', 'Granitzer M.', 'Guelton L.', 'Jurgovsky J.', 'Portier P.E.', 'Zwicklbauer S.', 'Albrecht S.', 'Busch J.', 'Kloppenburg M.', 'Metze F.', 'Tavan P.', 'Andrews R.', 'Diederich J.', 'Tickle A.B.', 'Augasta M.G.', 'Kathirvalavakumar T.', 'Breiman L.', 'Breiman L.', 'Friedman J.', 'Stone C.J.', 'Olshen R.A.', 'Caron R.', 'Donald J.', 'Ponic C.', 'Chandola V.', 'Banerjee A.', 'Kumar V.', 'Chang L.', 'Zhou Z.', 'Chen Y.', 'Liao T.', 'Hu Y.', 'Yang L.', 'Clark P.', 'Niblett T.', 'Cohen W.W.', 'Francisco CA', 'Craven M.W.', 'Shavlik J.W.']
